Species,Duplication,Classification,Number,PhyloOrder
Aduranensis,dispersed,gbM-gbM,411,35
Aduranensis,proximal,gbM-gbM,47,35
Aduranensis,tandem,gbM-gbM,49,35
Aduranensis,transposed,gbM-gbM,241,35
Aduranensis,wgd,gbM-gbM,491,35
Aduranensis,dispersed,gbM-teM,249,35
Aduranensis,proximal,gbM-teM,33,35
Aduranensis,tandem,gbM-teM,28,35
Aduranensis,transposed,gbM-teM,225,35
Aduranensis,wgd,gbM-teM,70,35
Aduranensis,dispersed,gbM-Unclassified,278,35
Aduranensis,proximal,gbM-Unclassified,38,35
Aduranensis,tandem,gbM-Unclassified,27,35
Aduranensis,transposed,gbM-Unclassified,133,35
Aduranensis,wgd,gbM-Unclassified,213,35
Aduranensis,dispersed,gbM-unM,362,35
Aduranensis,proximal,gbM-unM,75,35
Aduranensis,tandem,gbM-unM,84,35
Aduranensis,transposed,gbM-unM,287,35
Aduranensis,wgd,gbM-unM,356,35
Aduranensis,dispersed,teM-teM,2526,35
Aduranensis,proximal,teM-teM,315,35
Aduranensis,tandem,teM-teM,257,35
Aduranensis,transposed,teM-teM,2376,35
Aduranensis,wgd,teM-teM,377,35
Aduranensis,dispersed,teM-Unclassified,279,35
Aduranensis,proximal,teM-Unclassified,33,35
Aduranensis,tandem,teM-Unclassified,23,35
Aduranensis,transposed,teM-Unclassified,106,35
Aduranensis,wgd,teM-Unclassified,33,35
Aduranensis,dispersed,Unclassified-Unclassified,126,35
Aduranensis,proximal,Unclassified-Unclassified,21,35
Aduranensis,tandem,Unclassified-Unclassified,17,35
Aduranensis,transposed,Unclassified-Unclassified,50,35
Aduranensis,wgd,Unclassified-Unclassified,69,35
Aduranensis,dispersed,unM-teM,413,35
Aduranensis,proximal,unM-teM,96,35
Aduranensis,tandem,unM-teM,117,35
Aduranensis,transposed,unM-teM,237,35
Aduranensis,wgd,unM-teM,152,35
Aduranensis,dispersed,unM-Unclassified,269,35
Aduranensis,proximal,unM-Unclassified,91,35
Aduranensis,tandem,unM-Unclassified,100,35
Aduranensis,transposed,unM-Unclassified,187,35
Aduranensis,wgd,unM-Unclassified,258,35
Aduranensis,dispersed,unM-unM,619,35
Aduranensis,proximal,unM-unM,368,35
Aduranensis,tandem,unM-unM,473,35
Aduranensis,transposed,unM-unM,431,35
Aduranensis,wgd,unM-unM,720,35
