Species,Duplication,Similarity,Number,PhyloOrder
Aipaensis,dispersed,Different,1249,34
Aipaensis,proximal,Different,249,34
Aipaensis,tandem,Different,262,34
Aipaensis,transposed,Different,937,34
Aipaensis,wgd,Different,644,34
Aipaensis,dispersed,Same,4847,34
Aipaensis,proximal,Same,1108,34
Aipaensis,tandem,Same,1091,34
Aipaensis,transposed,Same,4417,34
Aipaensis,wgd,Same,1961,34
Aipaensis,dispersed,Undetermined,925,34
Aipaensis,proximal,Undetermined,166,34
Aipaensis,tandem,Undetermined,163,34
Aipaensis,transposed,Undetermined,542,34
Aipaensis,wgd,Undetermined,564,34
