"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Aipaensis"
"2","TEs","Genes",-0.444346317320401,0,"Aipaensis"
"3","TE.nucleotidess","Genes",-0.57201236804122,0,"Aipaensis"
"4","gbM","Genes",0.503854358982108,0,"Aipaensis"
"5","TE.like","Genes",NA,NA,"Aipaensis"
"6","Unmethylated","Genes",0.683410180243966,0,"Aipaensis"
"7","Unclassified","Genes",0.43133708091087,0,"Aipaensis"
"8","Genes","TEs",-0.444346317320401,0,"Aipaensis"
"9","TEs","TEs",1,NA,"Aipaensis"
"10","TE.nucleotidess","TEs",0.867031201307838,0,"Aipaensis"
"11","gbM","TEs",-0.327609648649528,0,"Aipaensis"
"12","TE.like","TEs",NA,NA,"Aipaensis"
"13","Unmethylated","TEs",-0.392783742632791,0,"Aipaensis"
"14","Unclassified","TEs",-0.259074205327555,0,"Aipaensis"
"15","Genes","TE.nucleotidess",-0.57201236804122,0,"Aipaensis"
"16","TEs","TE.nucleotidess",0.867031201307838,0,"Aipaensis"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Aipaensis"
"18","gbM","TE.nucleotidess",-0.413156488844846,0,"Aipaensis"
"19","TE.like","TE.nucleotidess",NA,NA,"Aipaensis"
"20","Unmethylated","TE.nucleotidess",-0.492248411487738,0,"Aipaensis"
"21","Unclassified","TE.nucleotidess",-0.321288421340507,0,"Aipaensis"
"22","Genes","gbM",0.503854358982108,0,"Aipaensis"
"23","TEs","gbM",-0.327609648649528,0,"Aipaensis"
"24","TE.nucleotidess","gbM",-0.413156488844846,0,"Aipaensis"
"25","gbM","gbM",1,NA,"Aipaensis"
"26","TE.like","gbM",NA,NA,"Aipaensis"
"27","Unmethylated","gbM",0.308468016664814,0,"Aipaensis"
"28","Unclassified","gbM",0.229777430654389,0,"Aipaensis"
"29","Genes","TE.like",NA,NA,"Aipaensis"
"30","TEs","TE.like",NA,NA,"Aipaensis"
"31","TE.nucleotidess","TE.like",NA,NA,"Aipaensis"
"32","gbM","TE.like",NA,NA,"Aipaensis"
"33","TE.like","TE.like",1,NA,"Aipaensis"
"34","Unmethylated","TE.like",NA,NA,"Aipaensis"
"35","Unclassified","TE.like",NA,NA,"Aipaensis"
"36","Genes","Unmethylated",0.683410180243966,0,"Aipaensis"
"37","TEs","Unmethylated",-0.392783742632791,0,"Aipaensis"
"38","TE.nucleotidess","Unmethylated",-0.492248411487738,0,"Aipaensis"
"39","gbM","Unmethylated",0.308468016664814,0,"Aipaensis"
"40","TE.like","Unmethylated",NA,NA,"Aipaensis"
"41","Unmethylated","Unmethylated",1,NA,"Aipaensis"
"42","Unclassified","Unmethylated",0.278851328151043,0,"Aipaensis"
"43","Genes","Unclassified",0.43133708091087,0,"Aipaensis"
"44","TEs","Unclassified",-0.259074205327555,0,"Aipaensis"
"45","TE.nucleotidess","Unclassified",-0.321288421340507,0,"Aipaensis"
"46","gbM","Unclassified",0.229777430654389,0,"Aipaensis"
"47","TE.like","Unclassified",NA,NA,"Aipaensis"
"48","Unmethylated","Unclassified",0.278851328151043,0,"Aipaensis"
"49","Unclassified","Unclassified",1,NA,"Aipaensis"
