Species,Duplication,Similarity,Number,PhyloOrder
Alyrata,dispersed,Different,562,20
Alyrata,proximal,Different,141,20
Alyrata,tandem,Different,223,20
Alyrata,transposed,Different,432,20
Alyrata,wgd,Different,381,20
Alyrata,dispersed,Same,1646,20
Alyrata,proximal,Same,449,20
Alyrata,tandem,Same,1038,20
Alyrata,transposed,Same,1239,20
Alyrata,wgd,Same,2104,20
Alyrata,dispersed,Undetermined,834,20
Alyrata,proximal,Undetermined,258,20
Alyrata,tandem,Undetermined,488,20
Alyrata,transposed,Undetermined,625,20
Alyrata,wgd,Undetermined,1049,20
