Species,Duplication,Similarity,Number,PhyloOrder
Athaliana,dispersed,Different,345,19
Athaliana,proximal,Different,91,19
Athaliana,tandem,Different,144,19
Athaliana,transposed,Different,230,19
Athaliana,wgd,Different,285,19
Athaliana,dispersed,Same,1218,19
Athaliana,proximal,Same,369,19
Athaliana,tandem,Same,1213,19
Athaliana,transposed,Same,1134,19
Athaliana,wgd,Same,2027,19
Athaliana,dispersed,Undetermined,678,19
Athaliana,proximal,Undetermined,156,19
Athaliana,tandem,Undetermined,437,19
Athaliana,transposed,Undetermined,617,19
Athaliana,wgd,Undetermined,1264,19
