Species,Duplication,Classification,Number,PhyloOrder
Athaliana,dispersed,gbM-gbM,136,19
Athaliana,proximal,gbM-gbM,14,19
Athaliana,tandem,gbM-gbM,43,19
Athaliana,transposed,gbM-gbM,96,19
Athaliana,wgd,gbM-gbM,283,19
Athaliana,dispersed,gbM-teM,13,19
Athaliana,proximal,gbM-teM,7,19
Athaliana,tandem,gbM-teM,10,19
Athaliana,transposed,gbM-teM,8,19
Athaliana,wgd,gbM-teM,2,19
Athaliana,dispersed,gbM-Unclassified,144,19
Athaliana,proximal,gbM-Unclassified,22,19
Athaliana,tandem,gbM-Unclassified,66,19
Athaliana,transposed,gbM-Unclassified,134,19
Athaliana,wgd,gbM-Unclassified,331,19
Athaliana,dispersed,gbM-unM,188,19
Athaliana,proximal,gbM-unM,52,19
Athaliana,tandem,gbM-unM,77,19
Athaliana,transposed,gbM-unM,141,19
Athaliana,wgd,gbM-unM,241,19
Athaliana,dispersed,teM-teM,183,19
Athaliana,proximal,teM-teM,36,19
Athaliana,tandem,teM-teM,76,19
Athaliana,transposed,teM-teM,40,19
Athaliana,wgd,teM-teM,8,19
Athaliana,dispersed,teM-Unclassified,24,19
Athaliana,proximal,teM-Unclassified,10,19
Athaliana,tandem,teM-Unclassified,23,19
Athaliana,transposed,teM-Unclassified,16,19
Athaliana,wgd,teM-Unclassified,10,19
Athaliana,dispersed,Unclassified-Unclassified,137,19
Athaliana,proximal,Unclassified-Unclassified,22,19
Athaliana,tandem,Unclassified-Unclassified,78,19
Athaliana,transposed,Unclassified-Unclassified,104,19
Athaliana,wgd,Unclassified-Unclassified,260,19
Athaliana,dispersed,unM-teM,144,19
Athaliana,proximal,unM-teM,32,19
Athaliana,tandem,unM-teM,57,19
Athaliana,transposed,unM-teM,81,19
Athaliana,wgd,unM-teM,42,19
Athaliana,dispersed,unM-Unclassified,373,19
Athaliana,proximal,unM-Unclassified,102,19
Athaliana,tandem,unM-Unclassified,270,19
Athaliana,transposed,unM-Unclassified,363,19
Athaliana,wgd,unM-Unclassified,663,19
Athaliana,dispersed,unM-unM,899,19
Athaliana,proximal,unM-unM,319,19
Athaliana,tandem,unM-unM,1094,19
Athaliana,transposed,unM-unM,998,19
Athaliana,wgd,unM-unM,1736,19
