Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Athaliana,unM-unM,unM,unM,0,0,1979,0.409646036017388,0-0
Athaliana,unM-unM,unM,unM,1,0,0,0,1-0
Athaliana,unM-unM,unM,unM,0,1,1819,0.376526599047816,0-1
Athaliana,unM-unM,unM,unM,1,1,1033,0.213827364934796,1-1
Athaliana,gbM-unM,gbM,unM,0,0,275,0.423728813559322,0-0
Athaliana,gbM-unM,gbM,unM,1,0,139,0.214175654853621,1-0
Athaliana,gbM-unM,gbM,unM,0,1,115,0.177195685670262,0-1
Athaliana,gbM-unM,gbM,unM,1,1,120,0.184899845916795,1-1
Athaliana,gbM-gbM,gbM,gbM,0,0,215,0.396678966789668,0-0
Athaliana,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Athaliana,gbM-gbM,gbM,gbM,0,1,227,0.418819188191882,0-1
Athaliana,gbM-gbM,gbM,gbM,1,1,100,0.18450184501845,1-1
Athaliana,teM-teM,teM,teM,0,0,33,0.100917431192661,0-0
Athaliana,teM-teM,teM,teM,1,0,0,0,1-0
Athaliana,teM-teM,teM,teM,0,1,70,0.214067278287462,0-1
Athaliana,teM-teM,teM,teM,1,1,224,0.685015290519878,1-1
Athaliana,unM-teM,unM,teM,0,0,63,0.184210526315789,0-0
Athaliana,unM-teM,unM,teM,1,0,33,0.0964912280701754,1-0
Athaliana,unM-teM,unM,teM,0,1,107,0.312865497076023,0-1
Athaliana,unM-teM,unM,teM,1,1,139,0.406432748538012,1-1
Athaliana,gbM-teM,gbM,teM,0,0,5,0.138888888888889,0-0
Athaliana,gbM-teM,gbM,teM,1,0,3,0.0833333333333333,1-0
Athaliana,gbM-teM,gbM,teM,0,1,9,0.25,0-1
Athaliana,gbM-teM,gbM,teM,1,1,19,0.527777777777778,1-1
