Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Athaliana,gbM,0,gbM-gbM,662,0.609015639374425
Athaliana,gbM,1,gbM-gbM,425,0.390984360625575
Athaliana,gbM,0,gbM-teM,14,0.378378378378378
Athaliana,teM,0,gbM-teM,8,0.2
Athaliana,gbM,1,gbM-teM,23,0.621621621621622
Athaliana,teM,1,gbM-teM,32,0.8
Athaliana,gbM,0,gbM-unM,383,0.5984375
Athaliana,unM,0,gbM-unM,416,0.626506024096386
Athaliana,gbM,1,gbM-unM,257,0.4015625
Athaliana,unM,1,gbM-unM,248,0.373493975903614
Athaliana,teM,0,teM-teM,123,0.220035778175313
Athaliana,teM,1,teM-teM,436,0.779964221824687
Athaliana,unM,0,unM-teM,159,0.504761904761905
Athaliana,teM,0,unM-teM,85,0.26813880126183
Athaliana,unM,1,unM-teM,156,0.495238095238095
Athaliana,teM,1,unM-teM,232,0.73186119873817
Athaliana,unM,0,unM-unM,5382,0.596607914865314
Athaliana,unM,1,unM-unM,3639,0.403392085134686
