Species,Duplication,Similarity,Number,PhyloOrder
Atrichopoda,dispersed,Different,289,1
Atrichopoda,proximal,Different,94,1
Atrichopoda,tandem,Different,68,1
Atrichopoda,transposed,Different,2,1
Atrichopoda,wgd,Different,0,1
Atrichopoda,dispersed,Same,1775,1
Atrichopoda,proximal,Same,226,1
Atrichopoda,tandem,Same,237,1
Atrichopoda,transposed,Same,0,1
Atrichopoda,wgd,Same,1,1
Atrichopoda,dispersed,Undetermined,1093,1
Atrichopoda,proximal,Undetermined,329,1
Atrichopoda,tandem,Undetermined,372,1
Atrichopoda,transposed,Undetermined,1,1
Atrichopoda,wgd,Undetermined,0,1
