Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Atrichopoda,gbM-gbM,gbM,gbM,0,0,1,0.00526315789473684,0-0
Atrichopoda,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Atrichopoda,gbM-gbM,gbM,gbM,0,1,2,0.0105263157894737,0-1
Atrichopoda,gbM-gbM,gbM,gbM,1,1,187,0.984210526315789,1-1
Atrichopoda,gbM-teM,gbM,teM,0,0,0,0,0-0
Atrichopoda,gbM-teM,gbM,teM,1,0,1,0.00884955752212389,1-0
Atrichopoda,gbM-teM,gbM,teM,0,1,2,0.0176991150442478,0-1
Atrichopoda,gbM-teM,gbM,teM,1,1,110,0.973451327433628,1-1
Atrichopoda,unM-unM,unM,unM,0,0,1,0.00276243093922652,0-0
Atrichopoda,unM-unM,unM,unM,1,0,0,0,1-0
Atrichopoda,unM-unM,unM,unM,0,1,3,0.00828729281767956,0-1
Atrichopoda,unM-unM,unM,unM,1,1,358,0.988950276243094,1-1
Atrichopoda,gbM-unM,gbM,unM,0,0,0,0,0-0
Atrichopoda,gbM-unM,gbM,unM,1,0,2,0.0127388535031847,1-0
Atrichopoda,gbM-unM,gbM,unM,0,1,4,0.0254777070063694,0-1
Atrichopoda,gbM-unM,gbM,unM,1,1,151,0.961783439490446,1-1
Atrichopoda,unM-teM,unM,teM,0,0,4,0.0236686390532544,0-0
Atrichopoda,unM-teM,unM,teM,1,0,0,0,1-0
Atrichopoda,unM-teM,unM,teM,0,1,1,0.00591715976331361,0-1
Atrichopoda,unM-teM,unM,teM,1,1,164,0.970414201183432,1-1
Atrichopoda,teM-teM,teM,teM,0,0,3,0.00182370820668693,0-0
Atrichopoda,teM-teM,teM,teM,1,0,0,0,1-0
Atrichopoda,teM-teM,teM,teM,0,1,57,0.0346504559270517,0-1
Atrichopoda,teM-teM,teM,teM,1,1,1585,0.963525835866261,1-1
