Species,Duplication,Similarity,Number,PhyloOrder
Bdistachyon,dispersed,Different,885,5
Bdistachyon,proximal,Different,227,5
Bdistachyon,tandem,Different,295,5
Bdistachyon,transposed,Different,444,5
Bdistachyon,wgd,Different,203,5
Bdistachyon,dispersed,Same,2539,5
Bdistachyon,proximal,Same,619,5
Bdistachyon,tandem,Same,1100,5
Bdistachyon,transposed,Same,1151,5
Bdistachyon,wgd,Same,1255,5
Bdistachyon,dispersed,Undetermined,1212,5
Bdistachyon,proximal,Undetermined,296,5
Bdistachyon,tandem,Undetermined,350,5
Bdistachyon,transposed,Undetermined,489,5
Bdistachyon,wgd,Undetermined,616,5
