Species,Duplication,Classification,Number,PhyloOrder
Brapa,dispersed,gbM-gbM,0,22
Brapa,proximal,gbM-gbM,0,22
Brapa,tandem,gbM-gbM,0,22
Brapa,transposed,gbM-gbM,0,22
Brapa,wgd,gbM-gbM,3,22
Brapa,dispersed,gbM-teM,8,22
Brapa,proximal,gbM-teM,3,22
Brapa,tandem,gbM-teM,6,22
Brapa,transposed,gbM-teM,37,22
Brapa,wgd,gbM-teM,26,22
Brapa,dispersed,gbM-Unclassified,4,22
Brapa,proximal,gbM-Unclassified,0,22
Brapa,tandem,gbM-Unclassified,4,22
Brapa,transposed,gbM-Unclassified,8,22
Brapa,wgd,gbM-Unclassified,35,22
Brapa,dispersed,gbM-unM,7,22
Brapa,proximal,gbM-unM,3,22
Brapa,tandem,gbM-unM,6,22
Brapa,transposed,gbM-unM,29,22
Brapa,wgd,gbM-unM,37,22
Brapa,dispersed,teM-teM,354,22
Brapa,proximal,teM-teM,47,22
Brapa,tandem,teM-teM,81,22
Brapa,transposed,teM-teM,547,22
Brapa,wgd,teM-teM,98,22
Brapa,dispersed,teM-Unclassified,36,22
Brapa,proximal,teM-Unclassified,12,22
Brapa,tandem,teM-Unclassified,30,22
Brapa,transposed,teM-Unclassified,106,22
Brapa,wgd,teM-Unclassified,99,22
Brapa,dispersed,Unclassified-Unclassified,32,22
Brapa,proximal,Unclassified-Unclassified,6,22
Brapa,tandem,Unclassified-Unclassified,22,22
Brapa,transposed,Unclassified-Unclassified,72,22
Brapa,wgd,Unclassified-Unclassified,367,22
Brapa,dispersed,unM-teM,141,22
Brapa,proximal,unM-teM,37,22
Brapa,tandem,unM-teM,96,22
Brapa,transposed,unM-teM,364,22
Brapa,wgd,unM-teM,407,22
Brapa,dispersed,unM-Unclassified,235,22
Brapa,proximal,unM-Unclassified,37,22
Brapa,tandem,unM-Unclassified,138,22
Brapa,transposed,unM-Unclassified,434,22
Brapa,wgd,unM-Unclassified,1782,22
Brapa,dispersed,unM-unM,995,22
Brapa,proximal,unM-unM,333,22
Brapa,tandem,unM-unM,1365,22
Brapa,transposed,unM-unM,2687,22
Brapa,wgd,unM-unM,10385,22
