"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Bvulgaris"
"2","TEs","Genes",0.68159341271908,0,"Bvulgaris"
"3","TE.nucleotidess","Genes",0.528839411799181,0,"Bvulgaris"
"4","gbM","Genes",0.659479148599182,0,"Bvulgaris"
"5","teM","Genes",0.540737961190929,0,"Bvulgaris"
"6","unM","Genes",0.721134889045686,0,"Bvulgaris"
"7","Unclassified","Genes",0.819802763786748,0,"Bvulgaris"
"8","Genes","TEs",0.68159341271908,0,"Bvulgaris"
"9","TEs","TEs",1,NA,"Bvulgaris"
"10","TE.nucleotidess","TEs",0.944502505229307,0,"Bvulgaris"
"11","gbM","TEs",0.447586132426058,0,"Bvulgaris"
"12","teM","TEs",0.497413795941322,0,"Bvulgaris"
"13","unM","TEs",0.579929727383895,0,"Bvulgaris"
"14","Unclassified","TEs",0.564555128998224,0,"Bvulgaris"
"15","Genes","TE.nucleotidess",0.528839411799181,0,"Bvulgaris"
"16","TEs","TE.nucleotidess",0.944502505229307,0,"Bvulgaris"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Bvulgaris"
"18","gbM","TE.nucleotidess",0.332219120344968,0,"Bvulgaris"
"19","teM","TE.nucleotidess",0.473260043478279,0,"Bvulgaris"
"20","unM","TE.nucleotidess",0.484748692465864,0,"Bvulgaris"
"21","Unclassified","TE.nucleotidess",0.432839736693557,0,"Bvulgaris"
"22","Genes","gbM",0.659479148599182,0,"Bvulgaris"
"23","TEs","gbM",0.447586132426058,0,"Bvulgaris"
"24","TE.nucleotidess","gbM",0.332219120344968,0,"Bvulgaris"
"25","gbM","gbM",1,NA,"Bvulgaris"
"26","teM","gbM",0.255629961663651,0,"Bvulgaris"
"27","unM","gbM",0.377475797179006,0,"Bvulgaris"
"28","Unclassified","gbM",0.50283988461278,0,"Bvulgaris"
"29","Genes","teM",0.540737961190929,0,"Bvulgaris"
"30","TEs","teM",0.497413795941322,0,"Bvulgaris"
"31","TE.nucleotidess","teM",0.473260043478279,0,"Bvulgaris"
"32","gbM","teM",0.255629961663651,0,"Bvulgaris"
"33","teM","teM",1,NA,"Bvulgaris"
"34","unM","teM",0.334027485220981,0,"Bvulgaris"
"35","Unclassified","teM",0.315640499907634,0,"Bvulgaris"
"36","Genes","unM",0.721134889045686,0,"Bvulgaris"
"37","TEs","unM",0.579929727383895,0,"Bvulgaris"
"38","TE.nucleotidess","unM",0.484748692465864,0,"Bvulgaris"
"39","gbM","unM",0.377475797179006,0,"Bvulgaris"
"40","teM","unM",0.334027485220981,0,"Bvulgaris"
"41","unM","unM",1,NA,"Bvulgaris"
"42","Unclassified","unM",0.487238544269341,0,"Bvulgaris"
"43","Genes","Unclassified",0.819802763786748,0,"Bvulgaris"
"44","TEs","Unclassified",0.564555128998224,0,"Bvulgaris"
"45","TE.nucleotidess","Unclassified",0.432839736693557,0,"Bvulgaris"
"46","gbM","Unclassified",0.50283988461278,0,"Bvulgaris"
"47","teM","Unclassified",0.315640499907634,0,"Bvulgaris"
"48","unM","Unclassified",0.487238544269341,0,"Bvulgaris"
"49","Unclassified","Unclassified",1,NA,"Bvulgaris"
