Species,Duplication,Similarity,Number,PhyloOrder
Cclementina,dispersed,Different,283,14
Cclementina,proximal,Different,203,14
Cclementina,tandem,Different,320,14
Cclementina,transposed,Different,251,14
Cclementina,wgd,Different,183,14
Cclementina,dispersed,Same,854,14
Cclementina,proximal,Same,605,14
Cclementina,tandem,Same,1373,14
Cclementina,transposed,Same,638,14
Cclementina,wgd,Same,1177,14
Cclementina,dispersed,Undetermined,290,14
Cclementina,proximal,Undetermined,224,14
Cclementina,tandem,Undetermined,262,14
Cclementina,transposed,Undetermined,235,14
Cclementina,wgd,Undetermined,356,14
