Species,Duplication,Classification,Number,PhyloOrder
Clanatus,dispersed,gbM-gbM,218,26
Clanatus,proximal,gbM-gbM,27,26
Clanatus,tandem,gbM-gbM,44,26
Clanatus,transposed,gbM-gbM,102,26
Clanatus,wgd,gbM-gbM,144,26
Clanatus,dispersed,gbM-teM,23,26
Clanatus,proximal,gbM-teM,10,26
Clanatus,tandem,gbM-teM,27,26
Clanatus,transposed,gbM-teM,18,26
Clanatus,wgd,gbM-teM,16,26
Clanatus,dispersed,gbM-Unclassified,267,26
Clanatus,proximal,gbM-Unclassified,35,26
Clanatus,tandem,gbM-Unclassified,105,26
Clanatus,transposed,gbM-Unclassified,154,26
Clanatus,wgd,gbM-Unclassified,215,26
Clanatus,dispersed,gbM-unM,117,26
Clanatus,proximal,gbM-unM,16,26
Clanatus,tandem,gbM-unM,63,26
Clanatus,transposed,gbM-unM,78,26
Clanatus,wgd,gbM-unM,124,26
Clanatus,dispersed,teM-teM,106,26
Clanatus,proximal,teM-teM,37,26
Clanatus,tandem,teM-teM,115,26
Clanatus,transposed,teM-teM,6,26
Clanatus,wgd,teM-teM,5,26
Clanatus,dispersed,teM-Unclassified,63,26
Clanatus,proximal,teM-Unclassified,17,26
Clanatus,tandem,teM-Unclassified,57,26
Clanatus,transposed,teM-Unclassified,15,26
Clanatus,wgd,teM-Unclassified,26,26
Clanatus,dispersed,Unclassified-Unclassified,262,26
Clanatus,proximal,Unclassified-Unclassified,52,26
Clanatus,tandem,Unclassified-Unclassified,125,26
Clanatus,transposed,Unclassified-Unclassified,130,26
Clanatus,wgd,Unclassified-Unclassified,205,26
Clanatus,dispersed,unM-teM,33,26
Clanatus,proximal,unM-teM,10,26
Clanatus,tandem,unM-teM,49,26
Clanatus,transposed,unM-teM,21,26
Clanatus,wgd,unM-teM,32,26
Clanatus,dispersed,unM-Unclassified,279,26
Clanatus,proximal,unM-Unclassified,73,26
Clanatus,tandem,unM-Unclassified,201,26
Clanatus,transposed,unM-Unclassified,183,26
Clanatus,wgd,unM-Unclassified,324,26
Clanatus,dispersed,unM-unM,278,26
Clanatus,proximal,unM-unM,102,26
Clanatus,tandem,unM-unM,257,26
Clanatus,transposed,unM-unM,220,26
Clanatus,wgd,unM-unM,431,26
