Species,Duplication,Similarity,Number,PhyloOrder
Cmelo,dispersed,Different,520,27
Cmelo,proximal,Different,103,27
Cmelo,tandem,Different,195,27
Cmelo,transposed,Different,321,27
Cmelo,wgd,Different,247,27
Cmelo,dispersed,Same,1701,27
Cmelo,proximal,Same,321,27
Cmelo,tandem,Same,568,27
Cmelo,transposed,Same,1597,27
Cmelo,wgd,Same,1166,27
Cmelo,dispersed,Undetermined,654,27
Cmelo,proximal,Undetermined,116,27
Cmelo,tandem,Undetermined,228,27
Cmelo,transposed,Undetermined,320,27
Cmelo,wgd,Undetermined,329,27
