"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Cpapaya"
"2","TEs","Genes",0.175288608633818,0,"Cpapaya"
"3","TE.nucleotidess","Genes",0.181637151624378,0,"Cpapaya"
"4","gbM","Genes",0.679418585029334,0,"Cpapaya"
"5","TE.like","Genes",NA,NA,"Cpapaya"
"6","Unmethylated","Genes",0.759749034643721,0,"Cpapaya"
"7","Unclassified","Genes",0.531950080849763,0,"Cpapaya"
"8","Genes","TEs",0.175288608633818,0,"Cpapaya"
"9","TEs","TEs",1,NA,"Cpapaya"
"10","TE.nucleotidess","TEs",0.967780432440629,0,"Cpapaya"
"11","gbM","TEs",0.0672851232338124,5.12478948166972e-13,"Cpapaya"
"12","TE.like","TEs",NA,NA,"Cpapaya"
"13","Unmethylated","TEs",0.0926042309096622,0,"Cpapaya"
"14","Unclassified","TEs",0.0513248007035762,3.66486299085977e-08,"Cpapaya"
"15","Genes","TE.nucleotidess",0.181637151624378,0,"Cpapaya"
"16","TEs","TE.nucleotidess",0.967780432440629,0,"Cpapaya"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Cpapaya"
"18","gbM","TE.nucleotidess",0.0647311039978009,3.72435415840755e-12,"Cpapaya"
"19","TE.like","TE.nucleotidess",NA,NA,"Cpapaya"
"20","Unmethylated","TE.nucleotidess",0.0930462941037996,0,"Cpapaya"
"21","Unclassified","TE.nucleotidess",0.0514833776788833,3.32653837809005e-08,"Cpapaya"
"22","Genes","gbM",0.679418585029334,0,"Cpapaya"
"23","TEs","gbM",0.0672851232338124,5.12478948166972e-13,"Cpapaya"
"24","TE.nucleotidess","gbM",0.0647311039978009,3.72435415840755e-12,"Cpapaya"
"25","gbM","gbM",1,NA,"Cpapaya"
"26","TE.like","gbM",NA,NA,"Cpapaya"
"27","Unmethylated","gbM",0.356502889260216,0,"Cpapaya"
"28","Unclassified","gbM",0.296421833752592,0,"Cpapaya"
"29","Genes","TE.like",NA,NA,"Cpapaya"
"30","TEs","TE.like",NA,NA,"Cpapaya"
"31","TE.nucleotidess","TE.like",NA,NA,"Cpapaya"
"32","gbM","TE.like",NA,NA,"Cpapaya"
"33","TE.like","TE.like",1,NA,"Cpapaya"
"34","Unmethylated","TE.like",NA,NA,"Cpapaya"
"35","Unclassified","TE.like",NA,NA,"Cpapaya"
"36","Genes","Unmethylated",0.759749034643721,0,"Cpapaya"
"37","TEs","Unmethylated",0.0926042309096622,0,"Cpapaya"
"38","TE.nucleotidess","Unmethylated",0.0930462941037996,0,"Cpapaya"
"39","gbM","Unmethylated",0.356502889260216,0,"Cpapaya"
"40","TE.like","Unmethylated",NA,NA,"Cpapaya"
"41","Unmethylated","Unmethylated",1,NA,"Cpapaya"
"42","Unclassified","Unmethylated",0.348924241929142,0,"Cpapaya"
"43","Genes","Unclassified",0.531950080849763,0,"Cpapaya"
"44","TEs","Unclassified",0.0513248007035762,3.66486299085977e-08,"Cpapaya"
"45","TE.nucleotidess","Unclassified",0.0514833776788833,3.32653837809005e-08,"Cpapaya"
"46","gbM","Unclassified",0.296421833752592,0,"Cpapaya"
"47","TE.like","Unclassified",NA,NA,"Cpapaya"
"48","Unmethylated","Unclassified",0.348924241929142,0,"Cpapaya"
"49","Unclassified","Unclassified",1,NA,"Cpapaya"
