Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Cpapaya,unM-unM,unM,unM,0,0,451,0.353171495693031,0-0
Cpapaya,unM-unM,unM,unM,1,0,0,0,1-0
Cpapaya,unM-unM,unM,unM,0,1,523,0.409553641346907,0-1
Cpapaya,unM-unM,unM,unM,1,1,303,0.237274862960063,1-1
Cpapaya,teM-teM,teM,teM,0,0,155,0.092814371257485,0-0
Cpapaya,teM-teM,teM,teM,1,0,0,0,1-0
Cpapaya,teM-teM,teM,teM,0,1,322,0.192814371257485,0-1
Cpapaya,teM-teM,teM,teM,1,1,1193,0.71437125748503,1-1
Cpapaya,unM-teM,unM,teM,0,0,63,0.173553719008264,0-0
Cpapaya,unM-teM,unM,teM,1,0,54,0.148760330578512,1-0
Cpapaya,unM-teM,unM,teM,0,1,100,0.275482093663912,0-1
Cpapaya,unM-teM,unM,teM,1,1,146,0.402203856749311,1-1
Cpapaya,gbM-teM,gbM,teM,0,0,57,0.182692307692308,0-0
Cpapaya,gbM-teM,gbM,teM,1,0,52,0.166666666666667,1-0
Cpapaya,gbM-teM,gbM,teM,0,1,80,0.256410256410256,0-1
Cpapaya,gbM-teM,gbM,teM,1,1,123,0.394230769230769,1-1
Cpapaya,gbM-gbM,gbM,gbM,0,0,275,0.341614906832298,0-0
Cpapaya,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Cpapaya,gbM-gbM,gbM,gbM,0,1,331,0.411180124223603,0-1
Cpapaya,gbM-gbM,gbM,gbM,1,1,199,0.247204968944099,1-1
Cpapaya,gbM-unM,gbM,unM,0,0,185,0.362035225048924,0-0
Cpapaya,gbM-unM,gbM,unM,1,0,89,0.174168297455969,1-0
Cpapaya,gbM-unM,gbM,unM,0,1,117,0.228962818003914,0-1
Cpapaya,gbM-unM,gbM,unM,1,1,120,0.234833659491194,1-1
