Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Cpapaya,gbM,0,gbM-gbM,925,0.548310610551275
Cpapaya,gbM,1,gbM-gbM,762,0.451689389448726
Cpapaya,gbM,0,gbM-teM,124,0.449275362318841
Cpapaya,teM,0,gbM-teM,88,0.306620209059233
Cpapaya,gbM,1,gbM-teM,152,0.550724637681159
Cpapaya,teM,1,gbM-teM,199,0.693379790940767
Cpapaya,gbM,0,gbM-unM,315,0.601145038167939
Cpapaya,unM,0,gbM-unM,292,0.535779816513761
Cpapaya,gbM,1,gbM-unM,209,0.398854961832061
Cpapaya,unM,1,gbM-unM,253,0.464220183486239
Cpapaya,teM,0,teM-teM,473,0.200084602368866
Cpapaya,teM,1,teM-teM,1891,0.799915397631134
Cpapaya,unM,0,unM-teM,120,0.405405405405405
Cpapaya,teM,0,unM-teM,115,0.327635327635328
Cpapaya,unM,1,unM-teM,176,0.594594594594595
Cpapaya,teM,1,unM-teM,236,0.672364672364672
Cpapaya,unM,0,unM-unM,1458,0.555217060167555
Cpapaya,unM,1,unM-unM,1168,0.444782939832445
