"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Crubella"
"2","TEs","Genes",-0.157852823653959,0,"Crubella"
"3","TE.nucleotidess","Genes",-0.16305568453703,0,"Crubella"
"4","gbM","Genes",0.79525288331371,0,"Crubella"
"5","teM","Genes",0.0735333434595268,1.63566572495277e-05,"Crubella"
"6","unM","Genes",0.930388150541633,0,"Crubella"
"7","Unclassified","Genes",0.783803977143481,0,"Crubella"
"8","Genes","TEs",-0.157852823653959,0,"Crubella"
"9","TEs","TEs",1,NA,"Crubella"
"10","TE.nucleotidess","TEs",0.930352759088045,0,"Crubella"
"11","gbM","TEs",-0.114784158777802,1.58006940864652e-11,"Crubella"
"12","teM","TEs",0.571627392282999,0,"Crubella"
"13","unM","TEs",-0.251782356980985,0,"Crubella"
"14","Unclassified","TEs",-0.124930959146321,2.12496686913255e-13,"Crubella"
"15","Genes","TE.nucleotidess",-0.16305568453703,0,"Crubella"
"16","TEs","TE.nucleotidess",0.930352759088045,0,"Crubella"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Crubella"
"18","gbM","TE.nucleotidess",-0.126069775669981,1.28119737041743e-13,"Crubella"
"19","teM","TE.nucleotidess",0.532922418579877,0,"Crubella"
"20","unM","TE.nucleotidess",-0.242975076946557,0,"Crubella"
"21","Unclassified","TE.nucleotidess",-0.134192294379252,3.10862446895044e-15,"Crubella"
"22","Genes","gbM",0.79525288331371,0,"Crubella"
"23","TEs","gbM",-0.114784158777802,1.58006940864652e-11,"Crubella"
"24","TE.nucleotidess","gbM",-0.126069775669981,1.28119737041743e-13,"Crubella"
"25","gbM","gbM",1,NA,"Crubella"
"26","teM","gbM",0.0244326462259918,0.152659103537784,"Crubella"
"27","unM","gbM",0.596324039781225,0,"Crubella"
"28","Unclassified","gbM",0.565035443352536,0,"Crubella"
"29","Genes","teM",0.0735333434595268,1.63566572495277e-05,"Crubella"
"30","TEs","teM",0.571627392282999,0,"Crubella"
"31","TE.nucleotidess","teM",0.532922418579877,0,"Crubella"
"32","gbM","teM",0.0244326462259918,0.152659103537784,"Crubella"
"33","teM","teM",1,NA,"Crubella"
"34","unM","teM",-0.0903458314794055,1.16707676633965e-07,"Crubella"
"35","Unclassified","teM",0.00947107490285977,0.579350737615062,"Crubella"
"36","Genes","unM",0.930388150541633,0,"Crubella"
"37","TEs","unM",-0.251782356980985,0,"Crubella"
"38","TE.nucleotidess","unM",-0.242975076946557,0,"Crubella"
"39","gbM","unM",0.596324039781225,0,"Crubella"
"40","teM","unM",-0.0903458314794055,1.16707676633965e-07,"Crubella"
"41","unM","unM",1,NA,"Crubella"
"42","Unclassified","unM",0.632687386183274,0,"Crubella"
"43","Genes","Unclassified",0.783803977143481,0,"Crubella"
"44","TEs","Unclassified",-0.124930959146321,2.12496686913255e-13,"Crubella"
"45","TE.nucleotidess","Unclassified",-0.134192294379252,3.10862446895044e-15,"Crubella"
"46","gbM","Unclassified",0.565035443352536,0,"Crubella"
"47","teM","Unclassified",0.00947107490285977,0.579350737615062,"Crubella"
"48","unM","Unclassified",0.632687386183274,0,"Crubella"
"49","Unclassified","Unclassified",1,NA,"Crubella"
