Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Crubella,unM-unM,unM,unM,0,0,1396,0.300667671763946,0-0
Crubella,unM-unM,unM,unM,1,0,0,0,1-0
Crubella,unM-unM,unM,unM,0,1,1816,0.391126426879173,0-1
Crubella,unM-unM,unM,unM,1,1,1431,0.308205901356881,1-1
Crubella,unM-teM,unM,teM,0,0,42,0.108247422680412,0-0
Crubella,unM-teM,unM,teM,1,0,26,0.0670103092783505,1-0
Crubella,unM-teM,unM,teM,0,1,101,0.260309278350515,0-1
Crubella,unM-teM,unM,teM,1,1,219,0.564432989690722,1-1
Crubella,gbM-teM,gbM,teM,0,0,11,0.0700636942675159,0-0
Crubella,gbM-teM,gbM,teM,1,0,8,0.0509554140127389,1-0
Crubella,gbM-teM,gbM,teM,0,1,36,0.229299363057325,0-1
Crubella,gbM-teM,gbM,teM,1,1,102,0.64968152866242,1-1
Crubella,gbM-unM,gbM,unM,0,0,327,0.3193359375,0-0
Crubella,gbM-unM,gbM,unM,1,0,227,0.2216796875,1-0
Crubella,gbM-unM,gbM,unM,0,1,208,0.203125,0-1
Crubella,gbM-unM,gbM,unM,1,1,262,0.255859375,1-1
Crubella,gbM-gbM,gbM,gbM,0,0,323,0.302151543498597,0-0
Crubella,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Crubella,gbM-gbM,gbM,gbM,0,1,500,0.467726847521048,0-1
Crubella,gbM-gbM,gbM,gbM,1,1,246,0.230121608980355,1-1
Crubella,teM-teM,teM,teM,0,0,17,0.0306306306306306,0-0
Crubella,teM-teM,teM,teM,1,0,0,0,1-0
Crubella,teM-teM,teM,teM,0,1,68,0.122522522522523,0-1
Crubella,teM-teM,teM,teM,1,1,470,0.846846846846847,1-1
