Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Crubella,gbM,0,gbM-gbM,1135,0.537405303030303
Crubella,gbM,1,gbM-gbM,977,0.462594696969697
Crubella,gbM,0,gbM-teM,45,0.304054054054054
Crubella,teM,0,gbM-teM,18,0.113207547169811
Crubella,gbM,1,gbM-teM,103,0.695945945945946
Crubella,teM,1,gbM-teM,141,0.886792452830189
Crubella,gbM,0,gbM-unM,521,0.519960079840319
Crubella,unM,0,gbM-unM,560,0.539499036608863
Crubella,gbM,1,gbM-unM,481,0.480039920159681
Crubella,unM,1,gbM-unM,478,0.460500963391137
Crubella,teM,0,teM-teM,82,0.0879828326180258
Crubella,teM,1,teM-teM,850,0.912017167381974
Crubella,unM,0,unM-teM,141,0.384196185286104
Crubella,teM,0,unM-teM,63,0.174515235457064
Crubella,unM,1,unM-teM,226,0.615803814713896
Crubella,teM,1,unM-teM,298,0.825484764542936
Crubella,unM,0,unM-unM,4302,0.49924567714982
Crubella,unM,1,unM-unM,4315,0.50075432285018
