"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Csativus"
"2","TEs","Genes",-0.684963458678484,0,"Csativus"
"3","TE.nucleotidess","Genes",-0.695114795780237,0,"Csativus"
"4","gbM","Genes",0.637953434785819,0,"Csativus"
"5","TE.like","Genes",0.0847791434726642,9.53880974208232e-09,"Csativus"
"6","Unmethylated","Genes",0.808456261161611,0,"Csativus"
"7","Unclassified","Genes",0.603203421923646,0,"Csativus"
"8","Genes","TEs",-0.684963458678484,0,"Csativus"
"9","TEs","TEs",1,NA,"Csativus"
"10","TE.nucleotidess","TEs",0.896661111277465,0,"Csativus"
"11","gbM","TEs",-0.57752028315033,0,"Csativus"
"12","TE.like","TEs",0.155166436834791,0,"Csativus"
"13","Unmethylated","TEs",-0.535059326801143,0,"Csativus"
"14","Unclassified","TEs",-0.459338430174503,0,"Csativus"
"15","Genes","TE.nucleotidess",-0.695114795780237,0,"Csativus"
"16","TEs","TE.nucleotidess",0.896661111277465,0,"Csativus"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Csativus"
"18","gbM","TE.nucleotidess",-0.610637854659453,0,"Csativus"
"19","TE.like","TE.nucleotidess",0.133137053665403,0,"Csativus"
"20","Unmethylated","TE.nucleotidess",-0.535784295579709,0,"Csativus"
"21","Unclassified","TE.nucleotidess",-0.471209392061469,0,"Csativus"
"22","Genes","gbM",0.637953434785819,0,"Csativus"
"23","TEs","gbM",-0.57752028315033,0,"Csativus"
"24","TE.nucleotidess","gbM",-0.610637854659453,0,"Csativus"
"25","gbM","gbM",1,NA,"Csativus"
"26","TE.like","gbM",-0.115421327573453,5.10702591327572e-15,"Csativus"
"27","Unmethylated","gbM",0.292889901362162,0,"Csativus"
"28","Unclassified","gbM",0.377039707487564,0,"Csativus"
"29","Genes","TE.like",0.0847791434726642,9.53880974208232e-09,"Csativus"
"30","TEs","TE.like",0.155166436834791,0,"Csativus"
"31","TE.nucleotidess","TE.like",0.133137053665403,0,"Csativus"
"32","gbM","TE.like",-0.115421327573453,5.10702591327572e-15,"Csativus"
"33","TE.like","TE.like",1,NA,"Csativus"
"34","Unmethylated","TE.like",-0.0891948479663146,1.55264912038433e-09,"Csativus"
"35","Unclassified","TE.like",-0.0525811867240048,0.000377561688693184,"Csativus"
"36","Genes","Unmethylated",0.808456261161611,0,"Csativus"
"37","TEs","Unmethylated",-0.535059326801143,0,"Csativus"
"38","TE.nucleotidess","Unmethylated",-0.535784295579709,0,"Csativus"
"39","gbM","Unmethylated",0.292889901362162,0,"Csativus"
"40","TE.like","Unmethylated",-0.0891948479663146,1.55264912038433e-09,"Csativus"
"41","Unmethylated","Unmethylated",1,NA,"Csativus"
"42","Unclassified","Unmethylated",0.351731211619699,0,"Csativus"
"43","Genes","Unclassified",0.603203421923646,0,"Csativus"
"44","TEs","Unclassified",-0.459338430174503,0,"Csativus"
"45","TE.nucleotidess","Unclassified",-0.471209392061469,0,"Csativus"
"46","gbM","Unclassified",0.377039707487564,0,"Csativus"
"47","TE.like","Unclassified",-0.0525811867240048,0.000377561688693184,"Csativus"
"48","Unmethylated","Unclassified",0.351731211619699,0,"Csativus"
"49","Unclassified","Unclassified",1,NA,"Csativus"
