"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Csativus"
"2","TEs","Genes",-0.463307690614358,0,"Csativus"
"3","TE.nucleotidess","Genes",-0.446291386695781,0,"Csativus"
"4","gbM","Genes",0.492114891909339,0,"Csativus"
"5","teM","Genes",0.284358852458714,0,"Csativus"
"6","unM","Genes",0.741309289229336,0,"Csativus"
"7","Unclassified","Genes",0.459742633197159,0,"Csativus"
"8","Genes","TEs",-0.463307690614358,0,"Csativus"
"9","TEs","TEs",1,NA,"Csativus"
"10","TE.nucleotidess","TEs",0.896661111277465,0,"Csativus"
"11","gbM","TEs",-0.378340225923538,0,"Csativus"
"12","teM","TEs",0.0375582014246928,0.0111282238601689,"Csativus"
"13","unM","TEs",-0.425424279447192,0,"Csativus"
"14","Unclassified","TEs",-0.300187703109128,0,"Csativus"
"15","Genes","TE.nucleotidess",-0.446291386695781,0,"Csativus"
"16","TEs","TE.nucleotidess",0.896661111277465,0,"Csativus"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Csativus"
"18","gbM","TE.nucleotidess",-0.40217238832302,0,"Csativus"
"19","teM","TE.nucleotidess",0.0517977522880665,0.000461352368610335,"Csativus"
"20","unM","TE.nucleotidess",-0.42072273920062,0,"Csativus"
"21","Unclassified","TE.nucleotidess",-0.312072879622405,0,"Csativus"
"22","Genes","gbM",0.492114891909339,0,"Csativus"
"23","TEs","gbM",-0.378340225923538,0,"Csativus"
"24","TE.nucleotidess","gbM",-0.40217238832302,0,"Csativus"
"25","gbM","gbM",1,NA,"Csativus"
"26","teM","gbM",-0.00168259480378696,0.909483174894464,"Csativus"
"27","unM","gbM",0.207259321094096,0,"Csativus"
"28","Unclassified","gbM",0.170802768472301,0,"Csativus"
"29","Genes","teM",0.284358852458714,0,"Csativus"
"30","TEs","teM",0.0375582014246928,0.0111282238601689,"Csativus"
"31","TE.nucleotidess","teM",0.0517977522880665,0.000461352368610335,"Csativus"
"32","gbM","teM",-0.00168259480378696,0.909483174894464,"Csativus"
"33","teM","teM",1,NA,"Csativus"
"34","unM","teM",0.00694971783445581,0.638649708106473,"Csativus"
"35","Unclassified","teM",0.011661003008306,0.430729999411987,"Csativus"
"36","Genes","unM",0.741309289229336,0,"Csativus"
"37","TEs","unM",-0.425424279447192,0,"Csativus"
"38","TE.nucleotidess","unM",-0.42072273920062,0,"Csativus"
"39","gbM","unM",0.207259321094096,0,"Csativus"
"40","teM","unM",0.00694971783445581,0.638649708106473,"Csativus"
"41","unM","unM",1,NA,"Csativus"
"42","Unclassified","unM",0.250536777703161,0,"Csativus"
"43","Genes","Unclassified",0.459742633197159,0,"Csativus"
"44","TEs","Unclassified",-0.300187703109128,0,"Csativus"
"45","TE.nucleotidess","Unclassified",-0.312072879622405,0,"Csativus"
"46","gbM","Unclassified",0.170802768472301,0,"Csativus"
"47","teM","Unclassified",0.011661003008306,0.430729999411987,"Csativus"
"48","unM","Unclassified",0.250536777703161,0,"Csativus"
"49","Unclassified","Unclassified",1,NA,"Csativus"
