Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Csativus,gbM,0,gbM-gbM,395,0.26797829036635
Csativus,gbM,1,gbM-gbM,1079,0.73202170963365
Csativus,gbM,0,gbM-teM,25,0.170068027210884
Csativus,teM,0,gbM-teM,15,0.101351351351351
Csativus,gbM,1,gbM-teM,122,0.829931972789116
Csativus,teM,1,gbM-teM,133,0.898648648648649
Csativus,gbM,0,gbM-unM,198,0.303680981595092
Csativus,unM,0,gbM-unM,228,0.343373493975904
Csativus,gbM,1,gbM-unM,454,0.696319018404908
Csativus,unM,1,gbM-unM,436,0.656626506024096
Csativus,teM,0,teM-teM,69,0.120418848167539
Csativus,teM,1,teM-teM,504,0.879581151832461
Csativus,unM,0,unM-teM,83,0.273026315789474
Csativus,teM,0,unM-teM,56,0.191126279863481
Csativus,unM,1,unM-teM,221,0.726973684210526
Csativus,teM,1,unM-teM,237,0.808873720136519
Csativus,unM,0,unM-unM,1084,0.343037974683544
Csativus,unM,1,unM-unM,2076,0.656962025316456
