Species,Duplication,Classification,Number,PhyloOrder
Csativus,dispersed,gbM-gbM,373,28
Csativus,proximal,gbM-gbM,28,28
Csativus,tandem,gbM-gbM,73,28
Csativus,transposed,gbM-gbM,167,28
Csativus,wgd,gbM-gbM,188,28
Csativus,dispersed,gbM-teM,55,28
Csativus,proximal,gbM-teM,14,28
Csativus,tandem,gbM-teM,45,28
Csativus,transposed,gbM-teM,22,28
Csativus,wgd,gbM-teM,25,28
Csativus,dispersed,gbM-Unclassified,172,28
Csativus,proximal,gbM-Unclassified,23,28
Csativus,tandem,gbM-Unclassified,56,28
Csativus,transposed,gbM-Unclassified,89,28
Csativus,wgd,gbM-Unclassified,113,28
Csativus,dispersed,gbM-unM,247,28
Csativus,proximal,gbM-unM,41,28
Csativus,tandem,gbM-unM,109,28
Csativus,transposed,gbM-unM,151,28
Csativus,wgd,gbM-unM,183,28
Csativus,dispersed,teM-teM,191,28
Csativus,proximal,teM-teM,38,28
Csativus,tandem,teM-teM,89,28
Csativus,transposed,teM-teM,22,28
Csativus,wgd,teM-teM,8,28
Csativus,dispersed,teM-Unclassified,46,28
Csativus,proximal,teM-Unclassified,5,28
Csativus,tandem,teM-Unclassified,39,28
Csativus,transposed,teM-Unclassified,12,28
Csativus,wgd,teM-Unclassified,14,28
Csativus,dispersed,Unclassified-Unclassified,63,28
Csativus,proximal,Unclassified-Unclassified,17,28
Csativus,tandem,Unclassified-Unclassified,35,28
Csativus,transposed,Unclassified-Unclassified,28,28
Csativus,wgd,Unclassified-Unclassified,50,28
Csativus,dispersed,unM-teM,120,28
Csativus,proximal,unM-teM,34,28
Csativus,tandem,unM-teM,62,28
Csativus,transposed,unM-teM,55,28
Csativus,wgd,unM-teM,61,28
Csativus,dispersed,unM-Unclassified,177,28
Csativus,proximal,unM-Unclassified,64,28
Csativus,tandem,unM-Unclassified,149,28
Csativus,transposed,unM-Unclassified,100,28
Csativus,wgd,unM-Unclassified,161,28
Csativus,dispersed,unM-unM,409,28
Csativus,proximal,unM-unM,142,28
Csativus,tandem,unM-unM,444,28
Csativus,transposed,unM-unM,298,28
Csativus,wgd,unM-unM,516,28
