Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Egrandis,gbM,0,gbM-gbM,184,0.105082809822958
Egrandis,gbM,1,gbM-gbM,1567,0.894917190177042
Egrandis,gbM,0,gbM-teM,14,0.106060606060606
Egrandis,teM,0,gbM-teM,5,0.0333333333333333
Egrandis,gbM,1,gbM-teM,118,0.893939393939394
Egrandis,teM,1,gbM-teM,145,0.966666666666667
Egrandis,gbM,0,gbM-unM,58,0.0935483870967742
Egrandis,unM,0,gbM-unM,68,0.103186646433991
Egrandis,gbM,1,gbM-unM,562,0.906451612903226
Egrandis,unM,1,gbM-unM,591,0.896813353566009
Egrandis,teM,0,teM-teM,43,0.0450261780104712
Egrandis,teM,1,teM-teM,912,0.954973821989529
Egrandis,unM,0,unM-teM,12,0.0345821325648415
Egrandis,teM,0,unM-teM,9,0.0254237288135593
Egrandis,unM,1,unM-teM,335,0.965417867435158
Egrandis,teM,1,unM-teM,345,0.974576271186441
Egrandis,unM,0,unM-unM,405,0.0694682675814751
Egrandis,unM,1,unM-unM,5425,0.930531732418525
