Species,Duplication,Classification,Number,PhyloOrder
Egrandis,dispersed,gbM-gbM,327,13
Egrandis,proximal,gbM-gbM,57,13
Egrandis,tandem,gbM-gbM,127,13
Egrandis,transposed,gbM-gbM,185,13
Egrandis,wgd,gbM-gbM,272,13
Egrandis,dispersed,gbM-teM,31,13
Egrandis,proximal,gbM-teM,41,13
Egrandis,tandem,gbM-teM,51,13
Egrandis,transposed,gbM-teM,21,13
Egrandis,wgd,gbM-teM,14,13
Egrandis,dispersed,gbM-Unclassified,244,13
Egrandis,proximal,gbM-Unclassified,106,13
Egrandis,tandem,gbM-Unclassified,160,13
Egrandis,transposed,gbM-Unclassified,166,13
Egrandis,wgd,gbM-Unclassified,193,13
Egrandis,dispersed,gbM-unM,155,13
Egrandis,proximal,gbM-unM,93,13
Egrandis,tandem,gbM-unM,178,13
Egrandis,transposed,gbM-unM,136,13
Egrandis,wgd,gbM-unM,142,13
Egrandis,dispersed,teM-teM,113,13
Egrandis,proximal,teM-teM,121,13
Egrandis,tandem,teM-teM,258,13
Egrandis,transposed,teM-teM,54,13
Egrandis,wgd,teM-teM,21,13
Egrandis,dispersed,teM-Unclassified,63,13
Egrandis,proximal,teM-Unclassified,87,13
Egrandis,tandem,teM-Unclassified,195,13
Egrandis,transposed,teM-Unclassified,82,13
Egrandis,wgd,teM-Unclassified,35,13
Egrandis,dispersed,Unclassified-Unclassified,180,13
Egrandis,proximal,Unclassified-Unclassified,132,13
Egrandis,tandem,Unclassified-Unclassified,261,13
Egrandis,transposed,Unclassified-Unclassified,127,13
Egrandis,wgd,Unclassified-Unclassified,171,13
Egrandis,dispersed,unM-teM,56,13
Egrandis,proximal,unM-teM,76,13
Egrandis,tandem,unM-teM,155,13
Egrandis,transposed,unM-teM,72,13
Egrandis,wgd,unM-teM,33,13
Egrandis,dispersed,unM-Unclassified,265,13
Egrandis,proximal,unM-Unclassified,257,13
Egrandis,tandem,unM-Unclassified,677,13
Egrandis,transposed,unM-Unclassified,316,13
Egrandis,wgd,unM-Unclassified,333,13
Egrandis,dispersed,unM-unM,496,13
Egrandis,proximal,unM-unM,411,13
Egrandis,tandem,unM-unM,1390,13
Egrandis,transposed,unM-unM,481,13
Egrandis,wgd,unM-unM,596,13
