Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Eguineensis,gbM,0,gbM-gbM,138,0.261363636363636
Eguineensis,gbM,1,gbM-gbM,390,0.738636363636364
Eguineensis,gbM,0,gbM-teM,3,0.130434782608696
Eguineensis,teM,0,gbM-teM,2,0.0769230769230769
Eguineensis,gbM,1,gbM-teM,20,0.869565217391304
Eguineensis,teM,1,gbM-teM,24,0.923076923076923
Eguineensis,gbM,0,gbM-unM,57,0.325714285714286
Eguineensis,unM,0,gbM-unM,64,0.355555555555556
Eguineensis,gbM,1,gbM-unM,118,0.674285714285714
Eguineensis,unM,1,gbM-unM,116,0.644444444444444
Eguineensis,teM,0,teM-teM,18,0.162162162162162
Eguineensis,teM,1,teM-teM,93,0.837837837837838
Eguineensis,unM,0,unM-teM,56,0.325581395348837
Eguineensis,teM,0,unM-teM,29,0.153439153439153
Eguineensis,unM,1,unM-teM,116,0.674418604651163
Eguineensis,teM,1,unM-teM,160,0.846560846560847
Eguineensis,unM,0,unM-unM,1799,0.380418693169803
Eguineensis,unM,1,unM-unM,2930,0.619581306830197
