Species,Duplication,Classification,Number,PhyloOrder
Esalsugineum,dispersed,gbM-gbM,0,21
Esalsugineum,proximal,gbM-gbM,0,21
Esalsugineum,tandem,gbM-gbM,2,21
Esalsugineum,transposed,gbM-gbM,0,21
Esalsugineum,wgd,gbM-gbM,0,21
Esalsugineum,dispersed,gbM-teM,7,21
Esalsugineum,proximal,gbM-teM,4,21
Esalsugineum,tandem,gbM-teM,10,21
Esalsugineum,transposed,gbM-teM,1,21
Esalsugineum,wgd,gbM-teM,0,21
Esalsugineum,dispersed,gbM-Unclassified,0,21
Esalsugineum,proximal,gbM-Unclassified,3,21
Esalsugineum,tandem,gbM-Unclassified,3,21
Esalsugineum,transposed,gbM-Unclassified,0,21
Esalsugineum,wgd,gbM-Unclassified,0,21
Esalsugineum,dispersed,gbM-unM,2,21
Esalsugineum,proximal,gbM-unM,2,21
Esalsugineum,tandem,gbM-unM,6,21
Esalsugineum,transposed,gbM-unM,3,21
Esalsugineum,wgd,gbM-unM,2,21
Esalsugineum,dispersed,teM-teM,284,21
Esalsugineum,proximal,teM-teM,76,21
Esalsugineum,tandem,teM-teM,136,21
Esalsugineum,transposed,teM-teM,289,21
Esalsugineum,wgd,teM-teM,28,21
Esalsugineum,dispersed,teM-Unclassified,15,21
Esalsugineum,proximal,teM-Unclassified,11,21
Esalsugineum,tandem,teM-Unclassified,33,21
Esalsugineum,transposed,teM-Unclassified,13,21
Esalsugineum,wgd,teM-Unclassified,3,21
Esalsugineum,dispersed,Unclassified-Unclassified,0,21
Esalsugineum,proximal,Unclassified-Unclassified,2,21
Esalsugineum,tandem,Unclassified-Unclassified,9,21
Esalsugineum,transposed,Unclassified-Unclassified,1,21
Esalsugineum,wgd,Unclassified-Unclassified,1,21
Esalsugineum,dispersed,unM-teM,202,21
Esalsugineum,proximal,unM-teM,74,21
Esalsugineum,tandem,unM-teM,134,21
Esalsugineum,transposed,unM-teM,201,21
Esalsugineum,wgd,unM-teM,87,21
Esalsugineum,dispersed,unM-Unclassified,40,21
Esalsugineum,proximal,unM-Unclassified,36,21
Esalsugineum,tandem,unM-Unclassified,45,21
Esalsugineum,transposed,unM-Unclassified,41,21
Esalsugineum,wgd,unM-Unclassified,28,21
Esalsugineum,dispersed,unM-unM,1984,21
Esalsugineum,proximal,unM-unM,406,21
Esalsugineum,tandem,unM-unM,1107,21
Esalsugineum,transposed,unM-unM,1728,21
Esalsugineum,wgd,unM-unM,3182,21
