"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Fxananassa"
"2","TEs","Genes",-0.630288027821931,0,"Fxananassa"
"3","TE.nucleotidess","Genes",-0.735197455864047,0,"Fxananassa"
"4","gbM","Genes",0.313209310146887,0,"Fxananassa"
"5","TE.like","Genes",NA,NA,"Fxananassa"
"6","Unmethylated","Genes",0.689980643970812,0,"Fxananassa"
"7","Unclassified","Genes",0.415575370309235,0,"Fxananassa"
"8","Genes","TEs",-0.630288027821931,0,"Fxananassa"
"9","TEs","TEs",1,NA,"Fxananassa"
"10","TE.nucleotidess","TEs",0.829932216925112,0,"Fxananassa"
"11","gbM","TEs",-0.322359492639412,0,"Fxananassa"
"12","TE.like","TEs",NA,NA,"Fxananassa"
"13","Unmethylated","TEs",-0.458629404726793,0,"Fxananassa"
"14","Unclassified","TEs",-0.345899672199613,0,"Fxananassa"
"15","Genes","TE.nucleotidess",-0.735197455864047,0,"Fxananassa"
"16","TEs","TE.nucleotidess",0.829932216925112,0,"Fxananassa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Fxananassa"
"18","gbM","TE.nucleotidess",-0.353176316538873,0,"Fxananassa"
"19","TE.like","TE.nucleotidess",NA,NA,"Fxananassa"
"20","Unmethylated","TE.nucleotidess",-0.515139650382981,0,"Fxananassa"
"21","Unclassified","TE.nucleotidess",-0.379129346673298,0,"Fxananassa"
"22","Genes","gbM",0.313209310146887,0,"Fxananassa"
"23","TEs","gbM",-0.322359492639412,0,"Fxananassa"
"24","TE.nucleotidess","gbM",-0.353176316538873,0,"Fxananassa"
"25","gbM","gbM",1,NA,"Fxananassa"
"26","TE.like","gbM",NA,NA,"Fxananassa"
"27","Unmethylated","gbM",0.236140113962244,0,"Fxananassa"
"28","Unclassified","gbM",0.118555800002725,0,"Fxananassa"
"29","Genes","TE.like",NA,NA,"Fxananassa"
"30","TEs","TE.like",NA,NA,"Fxananassa"
"31","TE.nucleotidess","TE.like",NA,NA,"Fxananassa"
"32","gbM","TE.like",NA,NA,"Fxananassa"
"33","TE.like","TE.like",1,NA,"Fxananassa"
"34","Unmethylated","TE.like",NA,NA,"Fxananassa"
"35","Unclassified","TE.like",NA,NA,"Fxananassa"
"36","Genes","Unmethylated",0.689980643970812,0,"Fxananassa"
"37","TEs","Unmethylated",-0.458629404726793,0,"Fxananassa"
"38","TE.nucleotidess","Unmethylated",-0.515139650382981,0,"Fxananassa"
"39","gbM","Unmethylated",0.236140113962244,0,"Fxananassa"
"40","TE.like","Unmethylated",NA,NA,"Fxananassa"
"41","Unmethylated","Unmethylated",1,NA,"Fxananassa"
"42","Unclassified","Unmethylated",0.284534656998788,0,"Fxananassa"
"43","Genes","Unclassified",0.415575370309235,0,"Fxananassa"
"44","TEs","Unclassified",-0.345899672199613,0,"Fxananassa"
"45","TE.nucleotidess","Unclassified",-0.379129346673298,0,"Fxananassa"
"46","gbM","Unclassified",0.118555800002725,0,"Fxananassa"
"47","TE.like","Unclassified",NA,NA,"Fxananassa"
"48","Unmethylated","Unclassified",0.284534656998788,0,"Fxananassa"
"49","Unclassified","Unclassified",1,NA,"Fxananassa"
