Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC	CH_Weighted_mC
1	0.37542526311600977	0.20174937149249786	0.05061111808256996	0.07623488021409211
2	0.38170444326290015	0.20080880980526347	0.049924167408280165	0.0752248210820623
3	0.3714084270171671	0.20290676796885335	0.05050644743454709	0.07548188604053314
4	0.3807395420763815	0.20535714285714285	0.05097771692137358	0.07624974649653084
5	0.37832922493932464	0.2077938055547012	0.05312811114265834	0.07870085963848805
6	0.3730222222222222	0.20376814779540153	0.0518527461860851	0.0767272196541962
7	0.3734376670839178	0.20315874559531177	0.05336517247644509	0.07694532918202532
8	0.38630686831280836	0.21735620462767377	0.056945504951425516	0.08295620746876532
9	0.4028713814040338	0.22857668937580555	0.059794071806549755	0.0867513885594076
10	0.3997407617168114	0.22093190479614583	0.06229238646058314	0.0878026735582144
11	0.37623146986384126	0.22513151889307934	0.06185099780795399	0.0878767022976172
12	0.36812017694907784	0.21278912050256996	0.06386081325284035	0.0878126581648713
13	0.3695655898258819	0.21058203506904472	0.07048089194051155	0.0934834559871128
14	0.3518058641571908	0.20207903618976186	0.07600066336712971	0.09635558818326218
15	0.3222581032281996	0.187279574732356	0.08211149758542895	0.09975708873574295
16	0.2987516645357073	0.1763718476479757	0.0893413557771693	0.10433039120823795
17	0.262145054555917	0.15859261551646153	0.0958451639859013	0.10690771353475366
18	0.21357070914523327	0.12595348721643848	0.09718939565786874	0.10267407167890767
19	0.1333141020357702	0.07948221466968167	0.07797504195007672	0.07829111767378465
20	0.05488925165806261	0.03257388133956002	0.032985229606656515	0.03288671503340505
21	0.025250677934035442	0.015258535767433086	0.008291011442207672	0.010571520693700306
22	0.011873631298337692	0.007671749724886024	0.0032770901606045014	0.004880174791689366
23	0.01067621846255499	0.005422463220587582	0.007232788641843022	0.006579193701090649
24	0.01348306373312327	0.007161715170090736	0.009213342157056544	0.008471460942943832
25	0.01864411727500073	0.005524773404221247	0.009997274269987954	0.008411994755274524
26	0.01581419123989649	0.0052024581193703175	0.006006989951944081	0.005724683488216841
27	0.02064352439165033	0.005982263114625059	0.0059053622968251555	0.005932417213856256
28	0.02743712325919767	0.005019862766341639	0.005162041164931908	0.005113415304427303
29	0.028620719613756812	0.0029926865116608526	0.004574441102938512	0.0040391449477727775
30	0.031105624212495703	0.00417379763193741	0.0033488796156678474	0.00362458413587813
31	0.03062257893004532	0.0035716125487233203	0.0035087719298245615	0.0035296738193012615
32	0.035589961419074306	0.005195629656854556	0.004047317418272157	0.004426193363465991
33	0.045327515199058636	0.007138627541285611	0.0053990553664679235	0.005970487959065686
34	0.03935442931887025	0.00840804497030113	0.0057798581167808035	0.006635424874548998
35	0.04432949488461715	0.009028300248856994	0.006761656925899065	0.0075085096442634985
36	0.04152186870902077	0.006096168122894181	0.007166711194229228	0.006825503722174697
37	0.05102304520275509	0.008017175779976085	0.006989463837969158	0.007321853932090464
38	0.04693035316460319	0.0049674014281279105	0.005795516675779115	0.005536237391031561
39	0.04790067863258705	0.01009655982670632	0.010412175218384197	0.01031650641025641
40	0.0595987096478986	0.02724835132980651	0.02262375933515283	0.023856116589849884
41	0.17502561787446883	0.08076722028179723	0.04706746708295082	0.05353290506097582
42	0.23242326311131375	0.09859488429308184	0.053907425867084184	0.062204712588706856
43	0.24667794153177097	0.11031870100528315	0.05254467001916743	0.06306497241173678
44	0.2730706685276003	0.11812827962074635	0.05235542607800909	0.06451243637680541
45	0.2960627559404262	0.13365123989490105	0.05630231958994131	0.07004755560802037
46	0.31038404746385007	0.14948056944978838	0.05461850175890308	0.07132180610631104
47	0.3174622211561526	0.1507713018884237	0.05513276049767716	0.07157699589189602
48	0.3408094816765777	0.15630874641337686	0.05540975815138076	0.07284203598725639
49	0.34515070532120024	0.16179405091225563	0.052869426951482314	0.07179967524364829
50	0.35261559696342304	0.1631651732434122	0.05255447182675758	0.07184927591148572
51	0.36257736456089645	0.1648345432261714	0.05127499724227938	0.07109632291796941
52	0.357848621105281	0.16119481959282403	0.0498481108535606	0.06941532521414165
53	0.34936435681771083	0.16778615919121098	0.04787934318385107	0.06929879296578839
54	0.3477165932452276	0.16045611761006692	0.04764870672438329	0.06730412304279575
55	0.3542635772667909	0.16311209581607425	0.04417132553831269	0.06513772996029926
56	0.3532337213652268	0.16819370484578708	0.04479509951003412	0.0669456637622781
57	0.37306087436937524	0.15862176712212842	0.04527744559377049	0.06507567772240244
58	0.36539041746079637	0.1627622090600255	0.04219406349201935	0.0639524217046914
59	0.3619391219540811	0.15938657267239895	0.043368610234752754	0.06415246873333615
60	0.35478197631274305	0.15513063086413353	0.04175412283384515	0.06185654658025439
