Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Graimondii,gbM,0,gbM-gbM,147,0.0354302241503977
Graimondii,gbM,1,gbM-gbM,4002,0.964569775849602
Graimondii,gbM,0,gbM-teM,11,0.0384615384615385
Graimondii,teM,0,gbM-teM,6,0.017910447761194
Graimondii,gbM,1,gbM-teM,275,0.961538461538462
Graimondii,teM,1,gbM-teM,329,0.982089552238806
Graimondii,gbM,0,gbM-unM,60,0.0400801603206413
Graimondii,unM,0,gbM-unM,49,0.0321522309711286
Graimondii,gbM,1,gbM-unM,1437,0.959919839679359
Graimondii,unM,1,gbM-unM,1475,0.967847769028871
Graimondii,teM,0,teM-teM,55,0.0256171401956218
Graimondii,teM,1,teM-teM,2092,0.974382859804378
Graimondii,unM,0,unM-teM,27,0.0292207792207792
Graimondii,teM,0,unM-teM,13,0.0140540540540541
Graimondii,unM,1,unM-teM,897,0.970779220779221
Graimondii,teM,1,unM-teM,912,0.985945945945946
Graimondii,unM,0,unM-unM,346,0.028397898883782
Graimondii,unM,1,unM-unM,11838,0.971602101116218
