Species,Duplication,Classification,Number,PhyloOrder
Ljaponicus,dispersed,gbM-gbM,778,38
Ljaponicus,proximal,gbM-gbM,50,38
Ljaponicus,tandem,gbM-gbM,318,38
Ljaponicus,transposed,gbM-gbM,383,38
Ljaponicus,wgd,gbM-gbM,269,38
Ljaponicus,dispersed,gbM-teM,186,38
Ljaponicus,proximal,gbM-teM,14,38
Ljaponicus,tandem,gbM-teM,24,38
Ljaponicus,transposed,gbM-teM,63,38
Ljaponicus,wgd,gbM-teM,21,38
Ljaponicus,dispersed,gbM-Unclassified,385,38
Ljaponicus,proximal,gbM-Unclassified,28,38
Ljaponicus,tandem,gbM-Unclassified,74,38
Ljaponicus,transposed,gbM-Unclassified,155,38
Ljaponicus,wgd,gbM-Unclassified,106,38
Ljaponicus,dispersed,gbM-unM,425,38
Ljaponicus,proximal,gbM-unM,48,38
Ljaponicus,tandem,gbM-unM,93,38
Ljaponicus,transposed,gbM-unM,266,38
Ljaponicus,wgd,gbM-unM,99,38
Ljaponicus,dispersed,teM-teM,826,38
Ljaponicus,proximal,teM-teM,38,38
Ljaponicus,tandem,teM-teM,143,38
Ljaponicus,transposed,teM-teM,152,38
Ljaponicus,wgd,teM-teM,20,38
Ljaponicus,dispersed,teM-Unclassified,204,38
Ljaponicus,proximal,teM-Unclassified,13,38
Ljaponicus,tandem,teM-Unclassified,19,38
Ljaponicus,transposed,teM-Unclassified,54,38
Ljaponicus,wgd,teM-Unclassified,18,38
Ljaponicus,dispersed,Unclassified-Unclassified,127,38
Ljaponicus,proximal,Unclassified-Unclassified,10,38
Ljaponicus,tandem,Unclassified-Unclassified,107,38
Ljaponicus,transposed,Unclassified-Unclassified,61,38
Ljaponicus,wgd,Unclassified-Unclassified,47,38
Ljaponicus,dispersed,unM-teM,386,38
Ljaponicus,proximal,unM-teM,37,38
Ljaponicus,tandem,unM-teM,38,38
Ljaponicus,transposed,unM-teM,145,38
Ljaponicus,wgd,unM-teM,41,38
Ljaponicus,dispersed,unM-Unclassified,345,38
Ljaponicus,proximal,unM-Unclassified,41,38
Ljaponicus,tandem,unM-Unclassified,97,38
Ljaponicus,transposed,unM-Unclassified,176,38
Ljaponicus,wgd,unM-Unclassified,70,38
Ljaponicus,dispersed,unM-unM,717,38
Ljaponicus,proximal,unM-unM,114,38
Ljaponicus,tandem,unM-unM,585,38
Ljaponicus,transposed,unM-unM,353,38
Ljaponicus,wgd,unM-unM,234,38
