"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Macuminata"
"2","TEs","Genes",-0.704776788769215,0,"Macuminata"
"3","TE.nucleotidess","Genes",-0.731758774075018,0,"Macuminata"
"4","gbM","Genes",0.764780353555772,0,"Macuminata"
"5","TE.like","Genes",NA,NA,"Macuminata"
"6","Unmethylated","Genes",0.865433958402156,0,"Macuminata"
"7","Unclassified","Genes",0.651720535431855,0,"Macuminata"
"8","Genes","TEs",-0.704776788769215,0,"Macuminata"
"9","TEs","TEs",1,NA,"Macuminata"
"10","TE.nucleotidess","TEs",0.955144321185101,0,"Macuminata"
"11","gbM","TEs",-0.595739872337206,0,"Macuminata"
"12","TE.like","TEs",NA,NA,"Macuminata"
"13","Unmethylated","TEs",-0.578807235043895,0,"Macuminata"
"14","Unclassified","TEs",-0.47324585969042,0,"Macuminata"
"15","Genes","TE.nucleotidess",-0.731758774075018,0,"Macuminata"
"16","TEs","TE.nucleotidess",0.955144321185101,0,"Macuminata"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Macuminata"
"18","gbM","TE.nucleotidess",-0.621297781046332,0,"Macuminata"
"19","TE.like","TE.nucleotidess",NA,NA,"Macuminata"
"20","Unmethylated","TE.nucleotidess",-0.599893874452804,0,"Macuminata"
"21","Unclassified","TE.nucleotidess",-0.495478371711424,0,"Macuminata"
"22","Genes","gbM",0.764780353555772,0,"Macuminata"
"23","TEs","gbM",-0.595739872337206,0,"Macuminata"
"24","TE.nucleotidess","gbM",-0.621297781046332,0,"Macuminata"
"25","gbM","gbM",1,NA,"Macuminata"
"26","TE.like","gbM",NA,NA,"Macuminata"
"27","Unmethylated","gbM",0.459782793196552,0,"Macuminata"
"28","Unclassified","gbM",0.407673038992358,0,"Macuminata"
"29","Genes","TE.like",NA,NA,"Macuminata"
"30","TEs","TE.like",NA,NA,"Macuminata"
"31","TE.nucleotidess","TE.like",NA,NA,"Macuminata"
"32","gbM","TE.like",NA,NA,"Macuminata"
"33","TE.like","TE.like",1,NA,"Macuminata"
"34","Unmethylated","TE.like",NA,NA,"Macuminata"
"35","Unclassified","TE.like",NA,NA,"Macuminata"
"36","Genes","Unmethylated",0.865433958402156,0,"Macuminata"
"37","TEs","Unmethylated",-0.578807235043895,0,"Macuminata"
"38","TE.nucleotidess","Unmethylated",-0.599893874452804,0,"Macuminata"
"39","gbM","Unmethylated",0.459782793196552,0,"Macuminata"
"40","TE.like","Unmethylated",NA,NA,"Macuminata"
"41","Unmethylated","Unmethylated",1,NA,"Macuminata"
"42","Unclassified","Unmethylated",0.410169458563001,0,"Macuminata"
"43","Genes","Unclassified",0.651720535431855,0,"Macuminata"
"44","TEs","Unclassified",-0.47324585969042,0,"Macuminata"
"45","TE.nucleotidess","Unclassified",-0.495478371711424,0,"Macuminata"
"46","gbM","Unclassified",0.407673038992358,0,"Macuminata"
"47","TE.like","Unclassified",NA,NA,"Macuminata"
"48","Unmethylated","Unclassified",0.410169458563001,0,"Macuminata"
"49","Unclassified","Unclassified",1,NA,"Macuminata"
