Species,Duplication,Similarity,Number,PhyloOrder
Macuminata,dispersed,Different,490,3
Macuminata,proximal,Different,32,3
Macuminata,tandem,Different,42,3
Macuminata,transposed,Different,617,3
Macuminata,wgd,Different,717,3
Macuminata,dispersed,Same,1701,3
Macuminata,proximal,Same,149,3
Macuminata,tandem,Same,324,3
Macuminata,transposed,Same,2449,3
Macuminata,wgd,Same,4483,3
Macuminata,dispersed,Undetermined,862,3
Macuminata,proximal,Undetermined,47,3
Macuminata,tandem,Undetermined,54,3
Macuminata,transposed,Undetermined,887,3
Macuminata,wgd,Undetermined,1597,3
