Species,Duplication,Classification,Number,PhyloOrder
Macuminata,dispersed,gbM-gbM,681,3
Macuminata,proximal,gbM-gbM,21,3
Macuminata,tandem,gbM-gbM,20,3
Macuminata,transposed,gbM-gbM,779,3
Macuminata,wgd,gbM-gbM,1533,3
Macuminata,dispersed,gbM-teM,202,3
Macuminata,proximal,gbM-teM,6,3
Macuminata,tandem,gbM-teM,9,3
Macuminata,transposed,gbM-teM,192,3
Macuminata,wgd,gbM-teM,275,3
Macuminata,dispersed,gbM-Unclassified,262,3
Macuminata,proximal,gbM-Unclassified,12,3
Macuminata,tandem,gbM-Unclassified,16,3
Macuminata,transposed,gbM-Unclassified,286,3
Macuminata,wgd,gbM-Unclassified,460,3
Macuminata,dispersed,gbM-unM,223,3
Macuminata,proximal,gbM-unM,15,3
Macuminata,tandem,gbM-unM,20,3
Macuminata,transposed,gbM-unM,355,3
Macuminata,wgd,gbM-unM,379,3
Macuminata,dispersed,teM-teM,67,3
Macuminata,proximal,teM-teM,16,3
Macuminata,tandem,teM-teM,8,3
Macuminata,transposed,teM-teM,24,3
Macuminata,wgd,teM-teM,32,3
Macuminata,dispersed,teM-Unclassified,87,3
Macuminata,proximal,teM-Unclassified,4,3
Macuminata,tandem,teM-Unclassified,9,3
Macuminata,transposed,teM-Unclassified,64,3
Macuminata,wgd,teM-Unclassified,100,3
Macuminata,dispersed,Unclassified-Unclassified,260,3
Macuminata,proximal,Unclassified-Unclassified,16,3
Macuminata,tandem,Unclassified-Unclassified,6,3
Macuminata,transposed,Unclassified-Unclassified,250,3
Macuminata,wgd,Unclassified-Unclassified,536,3
Macuminata,dispersed,unM-teM,64,3
Macuminata,proximal,unM-teM,11,3
Macuminata,tandem,unM-teM,13,3
Macuminata,transposed,unM-teM,68,3
Macuminata,wgd,unM-teM,64,3
Macuminata,dispersed,unM-Unclassified,251,3
Macuminata,proximal,unM-Unclassified,15,3
Macuminata,tandem,unM-Unclassified,23,3
Macuminata,transposed,unM-Unclassified,290,3
Macuminata,wgd,unM-Unclassified,500,3
Macuminata,dispersed,unM-unM,956,3
Macuminata,proximal,unM-unM,112,3
Macuminata,tandem,unM-unM,295,3
Macuminata,transposed,unM-unM,1645,3
Macuminata,wgd,unM-unM,2927,3
