"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Mdomestica"
"2","TEs","Genes",0.0157687402727632,0.0602335924422177,"Mdomestica"
"3","TE.nucleotidess","Genes",-0.312149814863478,0,"Mdomestica"
"4","gbM","Genes",0.600245832813627,0,"Mdomestica"
"5","TE.like","Genes",NA,NA,"Mdomestica"
"6","Unmethylated","Genes",0.805098116009909,0,"Mdomestica"
"7","Unclassified","Genes",0.734052673427964,0,"Mdomestica"
"8","Genes","TEs",0.0157687402727632,0.0602335924422177,"Mdomestica"
"9","TEs","TEs",1,NA,"Mdomestica"
"10","TE.nucleotidess","TEs",0.78649343018065,0,"Mdomestica"
"11","gbM","TEs",-0.0391541214209179,3.05190674154687e-06,"Mdomestica"
"12","TE.like","TEs",NA,NA,"Mdomestica"
"13","Unmethylated","TEs",0.0747076694145217,0,"Mdomestica"
"14","Unclassified","TEs",-0.00523824515786496,0.532509206692799,"Mdomestica"
"15","Genes","TE.nucleotidess",-0.312149814863478,0,"Mdomestica"
"16","TEs","TE.nucleotidess",0.78649343018065,0,"Mdomestica"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Mdomestica"
"18","gbM","TE.nucleotidess",-0.243850527953433,0,"Mdomestica"
"19","TE.like","TE.nucleotidess",NA,NA,"Mdomestica"
"20","Unmethylated","TE.nucleotidess",-0.214261784414063,0,"Mdomestica"
"21","Unclassified","TE.nucleotidess",-0.245546566239565,0,"Mdomestica"
"22","Genes","gbM",0.600245832813627,0,"Mdomestica"
"23","TEs","gbM",-0.0391541214209179,3.05190674154687e-06,"Mdomestica"
"24","TE.nucleotidess","gbM",-0.243850527953433,0,"Mdomestica"
"25","gbM","gbM",1,NA,"Mdomestica"
"26","TE.like","gbM",NA,NA,"Mdomestica"
"27","Unmethylated","gbM",0.285671454731715,0,"Mdomestica"
"28","Unclassified","gbM",0.349009642485328,0,"Mdomestica"
"29","Genes","TE.like",NA,NA,"Mdomestica"
"30","TEs","TE.like",NA,NA,"Mdomestica"
"31","TE.nucleotidess","TE.like",NA,NA,"Mdomestica"
"32","gbM","TE.like",NA,NA,"Mdomestica"
"33","TE.like","TE.like",1,NA,"Mdomestica"
"34","Unmethylated","TE.like",NA,NA,"Mdomestica"
"35","Unclassified","TE.like",NA,NA,"Mdomestica"
"36","Genes","Unmethylated",0.805098116009909,0,"Mdomestica"
"37","TEs","Unmethylated",0.0747076694145217,0,"Mdomestica"
"38","TE.nucleotidess","Unmethylated",-0.214261784414063,0,"Mdomestica"
"39","gbM","Unmethylated",0.285671454731715,0,"Mdomestica"
"40","TE.like","Unmethylated",NA,NA,"Mdomestica"
"41","Unmethylated","Unmethylated",1,NA,"Mdomestica"
"42","Unclassified","Unmethylated",0.414976266759814,0,"Mdomestica"
"43","Genes","Unclassified",0.734052673427964,0,"Mdomestica"
"44","TEs","Unclassified",-0.00523824515786496,0.532509206692799,"Mdomestica"
"45","TE.nucleotidess","Unclassified",-0.245546566239565,0,"Mdomestica"
"46","gbM","Unclassified",0.349009642485328,0,"Mdomestica"
"47","TE.like","Unclassified",NA,NA,"Mdomestica"
"48","Unmethylated","Unclassified",0.414976266759814,0,"Mdomestica"
"49","Unclassified","Unclassified",1,NA,"Mdomestica"
