Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Mdomestica,gbM,0,gbM-gbM,32,0.00782778864970646
Mdomestica,gbM,1,gbM-gbM,4056,0.992172211350294
Mdomestica,gbM,0,gbM-teM,3,0.00806451612903226
Mdomestica,teM,0,gbM-teM,0,0
Mdomestica,gbM,1,gbM-teM,369,0.991935483870968
Mdomestica,teM,1,gbM-teM,401,1
Mdomestica,gbM,0,gbM-unM,9,0.00905432595573441
Mdomestica,unM,0,gbM-unM,22,0.0211946050096339
Mdomestica,gbM,1,gbM-unM,985,0.990945674044266
Mdomestica,unM,1,gbM-unM,1016,0.978805394990366
Mdomestica,teM,0,teM-teM,9,0.00470465237846315
Mdomestica,teM,1,teM-teM,1904,0.995295347621537
Mdomestica,unM,0,unM-teM,9,0.00756938603868797
Mdomestica,teM,0,unM-teM,2,0.00161290322580645
Mdomestica,unM,1,unM-teM,1180,0.992430613961312
Mdomestica,teM,1,unM-teM,1238,0.998387096774194
Mdomestica,unM,0,unM-unM,64,0.00558025983084837
Mdomestica,unM,1,unM-unM,11405,0.994419740169152
