Species,Duplication,Classification,Number,PhyloOrder
Mdomestica,dispersed,gbM-gbM,114,31
Mdomestica,proximal,gbM-gbM,29,31
Mdomestica,tandem,gbM-gbM,45,31
Mdomestica,transposed,gbM-gbM,212,31
Mdomestica,wgd,gbM-gbM,1730,31
Mdomestica,dispersed,gbM-teM,48,31
Mdomestica,proximal,gbM-teM,33,31
Mdomestica,tandem,gbM-teM,27,31
Mdomestica,transposed,gbM-teM,143,31
Mdomestica,wgd,gbM-teM,164,31
Mdomestica,dispersed,gbM-Unclassified,110,31
Mdomestica,proximal,gbM-Unclassified,75,31
Mdomestica,tandem,gbM-Unclassified,77,31
Mdomestica,transposed,gbM-Unclassified,250,31
Mdomestica,wgd,gbM-Unclassified,1207,31
Mdomestica,dispersed,gbM-unM,84,31
Mdomestica,proximal,gbM-unM,101,31
Mdomestica,tandem,gbM-unM,92,31
Mdomestica,transposed,gbM-unM,247,31
Mdomestica,wgd,gbM-unM,541,31
Mdomestica,dispersed,teM-teM,352,31
Mdomestica,proximal,teM-teM,240,31
Mdomestica,tandem,teM-teM,153,31
Mdomestica,transposed,teM-teM,222,31
Mdomestica,wgd,teM-teM,136,31
Mdomestica,dispersed,teM-Unclassified,131,31
Mdomestica,proximal,teM-Unclassified,114,31
Mdomestica,tandem,teM-Unclassified,96,31
Mdomestica,transposed,teM-Unclassified,277,31
Mdomestica,wgd,teM-Unclassified,240,31
Mdomestica,dispersed,Unclassified-Unclassified,114,31
Mdomestica,proximal,Unclassified-Unclassified,103,31
Mdomestica,tandem,Unclassified-Unclassified,125,31
Mdomestica,transposed,Unclassified-Unclassified,238,31
Mdomestica,wgd,Unclassified-Unclassified,1580,31
Mdomestica,dispersed,unM-teM,154,31
Mdomestica,proximal,unM-teM,187,31
Mdomestica,tandem,unM-teM,213,31
Mdomestica,transposed,unM-teM,380,31
Mdomestica,wgd,unM-teM,379,31
Mdomestica,dispersed,unM-Unclassified,199,31
Mdomestica,proximal,unM-Unclassified,320,31
Mdomestica,tandem,unM-Unclassified,357,31
Mdomestica,transposed,unM-Unclassified,416,31
Mdomestica,wgd,unM-Unclassified,1789,31
Mdomestica,dispersed,unM-unM,268,31
Mdomestica,proximal,unM-unM,556,31
Mdomestica,tandem,unM-unM,926,31
Mdomestica,transposed,unM-unM,705,31
Mdomestica,wgd,unM-unM,3689,31
