Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Mesculenta,gbM,0,gbM-gbM,225,0.117924528301887
Mesculenta,gbM,1,gbM-gbM,1683,0.882075471698113
Mesculenta,gbM,0,gbM-teM,2,0.0454545454545455
Mesculenta,teM,0,gbM-teM,0,0
Mesculenta,gbM,1,gbM-teM,42,0.954545454545455
Mesculenta,teM,1,gbM-teM,46,1
Mesculenta,gbM,0,gbM-unM,130,0.132248219735504
Mesculenta,unM,0,gbM-unM,144,0.144433299899699
Mesculenta,gbM,1,gbM-unM,853,0.867751780264496
Mesculenta,unM,1,gbM-unM,853,0.855566700100301
Mesculenta,teM,0,teM-teM,10,0.031055900621118
Mesculenta,teM,1,teM-teM,312,0.968944099378882
Mesculenta,unM,0,unM-teM,25,0.119617224880383
Mesculenta,teM,0,unM-teM,9,0.0416666666666667
Mesculenta,unM,1,unM-teM,184,0.880382775119617
Mesculenta,teM,1,unM-teM,207,0.958333333333333
Mesculenta,unM,0,unM-unM,2380,0.172313929916015
Mesculenta,unM,1,unM-unM,11432,0.827686070083985
