"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Mguttatus"
"2","TEs","Genes",-0.0589632008892064,3.03064672024789e-07,"Mguttatus"
"3","TE.nucleotidess","Genes",-0.271767102068022,0,"Mguttatus"
"4","gbM","Genes",0.938972743434738,0,"Mguttatus"
"5","TE.like","Genes",0.258437890593854,0,"Mguttatus"
"6","Unmethylated","Genes",0.63399824995598,0,"Mguttatus"
"7","Unclassified","Genes",0.682152739156749,0,"Mguttatus"
"8","Genes","TEs",-0.0589632008892064,3.03064672024789e-07,"Mguttatus"
"9","TEs","TEs",1,NA,"Mguttatus"
"10","TE.nucleotidess","TEs",0.869703449338652,0,"Mguttatus"
"11","gbM","TEs",-0.0769293483814675,2.2909674157745e-11,"Mguttatus"
"12","TE.like","TEs",0.281322585333861,0,"Mguttatus"
"13","Unmethylated","TEs",-0.0975381492192767,0,"Mguttatus"
"14","Unclassified","TEs",-0.0714169502879836,5.44232214849671e-10,"Mguttatus"
"15","Genes","TE.nucleotidess",-0.271767102068022,0,"Mguttatus"
"16","TEs","TE.nucleotidess",0.869703449338652,0,"Mguttatus"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Mguttatus"
"18","gbM","TE.nucleotidess",-0.285037159677843,0,"Mguttatus"
"19","TE.like","TE.nucleotidess",0.196742866307774,0,"Mguttatus"
"20","Unmethylated","TE.nucleotidess",-0.203125973491574,0,"Mguttatus"
"21","Unclassified","TE.nucleotidess",-0.204086984516661,0,"Mguttatus"
"22","Genes","gbM",0.938972743434738,0,"Mguttatus"
"23","TEs","gbM",-0.0769293483814675,2.2909674157745e-11,"Mguttatus"
"24","TE.nucleotidess","gbM",-0.285037159677843,0,"Mguttatus"
"25","gbM","gbM",1,NA,"Mguttatus"
"26","TE.like","gbM",0.0790724667272687,6.28630481003256e-12,"Mguttatus"
"27","Unmethylated","gbM",0.466966158608381,0,"Mguttatus"
"28","Unclassified","gbM",0.572573061749883,0,"Mguttatus"
"29","Genes","TE.like",0.258437890593854,0,"Mguttatus"
"30","TEs","TE.like",0.281322585333861,0,"Mguttatus"
"31","TE.nucleotidess","TE.like",0.196742866307774,0,"Mguttatus"
"32","gbM","TE.like",0.0790724667272687,6.28630481003256e-12,"Mguttatus"
"33","TE.like","TE.like",1,NA,"Mguttatus"
"34","Unmethylated","TE.like",0.057865240530996,5.00813535531108e-07,"Mguttatus"
"35","Unclassified","TE.like",0.0595019786837129,2.36091429517415e-07,"Mguttatus"
"36","Genes","Unmethylated",0.63399824995598,0,"Mguttatus"
"37","TEs","Unmethylated",-0.0975381492192767,0,"Mguttatus"
"38","TE.nucleotidess","Unmethylated",-0.203125973491574,0,"Mguttatus"
"39","gbM","Unmethylated",0.466966158608381,0,"Mguttatus"
"40","TE.like","Unmethylated",0.057865240530996,5.00813535531108e-07,"Mguttatus"
"41","Unmethylated","Unmethylated",1,NA,"Mguttatus"
"42","Unclassified","Unmethylated",0.40382200142793,0,"Mguttatus"
"43","Genes","Unclassified",0.682152739156749,0,"Mguttatus"
"44","TEs","Unclassified",-0.0714169502879836,5.44232214849671e-10,"Mguttatus"
"45","TE.nucleotidess","Unclassified",-0.204086984516661,0,"Mguttatus"
"46","gbM","Unclassified",0.572573061749883,0,"Mguttatus"
"47","TE.like","Unclassified",0.0595019786837129,2.36091429517415e-07,"Mguttatus"
"48","Unmethylated","Unclassified",0.40382200142793,0,"Mguttatus"
"49","Unclassified","Unclassified",1,NA,"Mguttatus"
