Species,Duplication,Similarity,Number,PhyloOrder
Mguttatus,dispersed,Different,361,43
Mguttatus,proximal,Different,162,43
Mguttatus,tandem,Different,390,43
Mguttatus,transposed,Different,407,43
Mguttatus,wgd,Different,401,43
Mguttatus,dispersed,Same,1080,43
Mguttatus,proximal,Same,462,43
Mguttatus,tandem,Same,1355,43
Mguttatus,transposed,Same,1022,43
Mguttatus,wgd,Same,2222,43
Mguttatus,dispersed,Undetermined,354,43
Mguttatus,proximal,Undetermined,143,43
Mguttatus,tandem,Undetermined,339,43
Mguttatus,transposed,Undetermined,309,43
Mguttatus,wgd,Undetermined,626,43
