Species,Duplication,Classification,Number,PhyloOrder
Mguttatus,dispersed,gbM-gbM,826,43
Mguttatus,proximal,gbM-gbM,253,43
Mguttatus,tandem,gbM-gbM,938,43
Mguttatus,transposed,gbM-gbM,859,43
Mguttatus,wgd,gbM-gbM,1887,43
Mguttatus,dispersed,gbM-teM,221,43
Mguttatus,proximal,gbM-teM,129,43
Mguttatus,tandem,gbM-teM,295,43
Mguttatus,transposed,gbM-teM,251,43
Mguttatus,wgd,gbM-teM,189,43
Mguttatus,dispersed,gbM-Unclassified,201,43
Mguttatus,proximal,gbM-Unclassified,67,43
Mguttatus,tandem,gbM-Unclassified,186,43
Mguttatus,transposed,gbM-Unclassified,172,43
Mguttatus,wgd,gbM-Unclassified,340,43
Mguttatus,dispersed,gbM-unM,102,43
Mguttatus,proximal,gbM-unM,27,43
Mguttatus,tandem,gbM-unM,81,43
Mguttatus,transposed,gbM-unM,112,43
Mguttatus,wgd,gbM-unM,181,43
Mguttatus,dispersed,teM-teM,170,43
Mguttatus,proximal,teM-teM,190,43
Mguttatus,tandem,teM-teM,357,43
Mguttatus,transposed,teM-teM,81,43
Mguttatus,wgd,teM-teM,42,43
Mguttatus,dispersed,teM-Unclassified,40,43
Mguttatus,proximal,teM-Unclassified,28,43
Mguttatus,tandem,teM-Unclassified,50,43
Mguttatus,transposed,teM-Unclassified,36,43
Mguttatus,wgd,teM-Unclassified,29,43
Mguttatus,dispersed,Unclassified-Unclassified,62,43
Mguttatus,proximal,Unclassified-Unclassified,21,43
Mguttatus,tandem,Unclassified-Unclassified,45,43
Mguttatus,transposed,Unclassified-Unclassified,45,43
Mguttatus,wgd,Unclassified-Unclassified,133,43
Mguttatus,dispersed,unM-teM,37,43
Mguttatus,proximal,unM-teM,6,43
Mguttatus,tandem,unM-teM,14,43
Mguttatus,transposed,unM-teM,43,43
Mguttatus,wgd,unM-teM,31,43
Mguttatus,dispersed,unM-Unclassified,52,43
Mguttatus,proximal,unM-Unclassified,27,43
Mguttatus,tandem,unM-Unclassified,57,43
Mguttatus,transposed,unM-Unclassified,58,43
Mguttatus,wgd,unM-Unclassified,124,43
Mguttatus,dispersed,unM-unM,82,43
Mguttatus,proximal,unM-unM,18,43
Mguttatus,tandem,unM-unM,62,43
Mguttatus,transposed,unM-unM,82,43
Mguttatus,wgd,unM-unM,293,43
