"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Mtruncatula"
"2","TEs","Genes",0.661686164002627,0,"Mtruncatula"
"3","TE.nucleotidess","Genes",0.460931282142664,0,"Mtruncatula"
"4","gbM","Genes",0.613483567079484,0,"Mtruncatula"
"5","teM","Genes",0.514786030447544,0,"Mtruncatula"
"6","unM","Genes",0.583711325633665,0,"Mtruncatula"
"7","Unclassified","Genes",0.530441123940774,0,"Mtruncatula"
"8","Genes","TEs",0.661686164002627,0,"Mtruncatula"
"9","TEs","TEs",1,NA,"Mtruncatula"
"10","TE.nucleotidess","TEs",0.745781589312889,0,"Mtruncatula"
"11","gbM","TEs",0.399064877799216,0,"Mtruncatula"
"12","teM","TEs",0.401859597908533,0,"Mtruncatula"
"13","unM","TEs",0.424114921220549,0,"Mtruncatula"
"14","Unclassified","TEs",0.331314155713164,0,"Mtruncatula"
"15","Genes","TE.nucleotidess",0.460931282142664,0,"Mtruncatula"
"16","TEs","TE.nucleotidess",0.745781589312889,0,"Mtruncatula"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Mtruncatula"
"18","gbM","TE.nucleotidess",0.164317193331995,0,"Mtruncatula"
"19","teM","TE.nucleotidess",0.328600124337363,0,"Mtruncatula"
"20","unM","TE.nucleotidess",0.216730884945822,0,"Mtruncatula"
"21","Unclassified","TE.nucleotidess",0.185665011537811,0,"Mtruncatula"
"22","Genes","gbM",0.613483567079484,0,"Mtruncatula"
"23","TEs","gbM",0.399064877799216,0,"Mtruncatula"
"24","TE.nucleotidess","gbM",0.164317193331995,0,"Mtruncatula"
"25","gbM","gbM",1,NA,"Mtruncatula"
"26","teM","gbM",0.160807321398482,0,"Mtruncatula"
"27","unM","gbM",0.233325308562345,0,"Mtruncatula"
"28","Unclassified","gbM",0.233243310853987,0,"Mtruncatula"
"29","Genes","teM",0.514786030447544,0,"Mtruncatula"
"30","TEs","teM",0.401859597908533,0,"Mtruncatula"
"31","TE.nucleotidess","teM",0.328600124337363,0,"Mtruncatula"
"32","gbM","teM",0.160807321398482,0,"Mtruncatula"
"33","teM","teM",1,NA,"Mtruncatula"
"34","unM","teM",0.107192301151643,0,"Mtruncatula"
"35","Unclassified","teM",0.172306438416971,0,"Mtruncatula"
"36","Genes","unM",0.583711325633665,0,"Mtruncatula"
"37","TEs","unM",0.424114921220549,0,"Mtruncatula"
"38","TE.nucleotidess","unM",0.216730884945822,0,"Mtruncatula"
"39","gbM","unM",0.233325308562345,0,"Mtruncatula"
"40","teM","unM",0.107192301151643,0,"Mtruncatula"
"41","unM","unM",1,NA,"Mtruncatula"
"42","Unclassified","unM",0.247507833747182,0,"Mtruncatula"
"43","Genes","Unclassified",0.530441123940774,0,"Mtruncatula"
"44","TEs","Unclassified",0.331314155713164,0,"Mtruncatula"
"45","TE.nucleotidess","Unclassified",0.185665011537811,0,"Mtruncatula"
"46","gbM","Unclassified",0.233243310853987,0,"Mtruncatula"
"47","teM","Unclassified",0.172306438416971,0,"Mtruncatula"
"48","unM","Unclassified",0.247507833747182,0,"Mtruncatula"
"49","Unclassified","Unclassified",1,NA,"Mtruncatula"
