Species,Duplication,Classification,Number,PhyloOrder
Mtruncatula,dispersed,gbM-gbM,910,39
Mtruncatula,proximal,gbM-gbM,342,39
Mtruncatula,tandem,gbM-gbM,530,39
Mtruncatula,transposed,gbM-gbM,598,39
Mtruncatula,wgd,gbM-gbM,1009,39
Mtruncatula,dispersed,gbM-teM,258,39
Mtruncatula,proximal,gbM-teM,162,39
Mtruncatula,tandem,gbM-teM,174,39
Mtruncatula,transposed,gbM-teM,193,39
Mtruncatula,wgd,gbM-teM,111,39
Mtruncatula,dispersed,gbM-Unclassified,363,39
Mtruncatula,proximal,gbM-Unclassified,191,39
Mtruncatula,tandem,gbM-Unclassified,276,39
Mtruncatula,transposed,gbM-Unclassified,236,39
Mtruncatula,wgd,gbM-Unclassified,232,39
Mtruncatula,dispersed,gbM-unM,335,39
Mtruncatula,proximal,gbM-unM,165,39
Mtruncatula,tandem,gbM-unM,215,39
Mtruncatula,transposed,gbM-unM,285,39
Mtruncatula,wgd,gbM-unM,243,39
Mtruncatula,dispersed,teM-teM,782,39
Mtruncatula,proximal,teM-teM,197,39
Mtruncatula,tandem,teM-teM,201,39
Mtruncatula,transposed,teM-teM,263,39
Mtruncatula,wgd,teM-teM,43,39
Mtruncatula,dispersed,teM-Unclassified,268,39
Mtruncatula,proximal,teM-Unclassified,131,39
Mtruncatula,tandem,teM-Unclassified,141,39
Mtruncatula,transposed,teM-Unclassified,117,39
Mtruncatula,wgd,teM-Unclassified,53,39
Mtruncatula,dispersed,Unclassified-Unclassified,131,39
Mtruncatula,proximal,Unclassified-Unclassified,89,39
Mtruncatula,tandem,Unclassified-Unclassified,106,39
Mtruncatula,transposed,Unclassified-Unclassified,74,39
Mtruncatula,wgd,Unclassified-Unclassified,86,39
Mtruncatula,dispersed,unM-teM,364,39
Mtruncatula,proximal,unM-teM,107,39
Mtruncatula,tandem,unM-teM,159,39
Mtruncatula,transposed,unM-teM,231,39
Mtruncatula,wgd,unM-teM,143,39
Mtruncatula,dispersed,unM-Unclassified,284,39
Mtruncatula,proximal,unM-Unclassified,151,39
Mtruncatula,tandem,unM-Unclassified,246,39
Mtruncatula,transposed,unM-Unclassified,216,39
Mtruncatula,wgd,unM-Unclassified,205,39
Mtruncatula,dispersed,unM-unM,382,39
Mtruncatula,proximal,unM-unM,300,39
Mtruncatula,tandem,unM-unM,475,39
Mtruncatula,transposed,unM-unM,388,39
Mtruncatula,wgd,unM-unM,580,39
