Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Osativa,gbM-teM,gbM,teM,0,0,0,0,0-0
Osativa,gbM-teM,gbM,teM,1,0,1,0.00218818380743982,1-0
Osativa,gbM-teM,gbM,teM,0,1,3,0.00656455142231947,0-1
Osativa,gbM-teM,gbM,teM,1,1,453,0.991247264770241,1-1
Osativa,teM-teM,teM,teM,0,0,0,0,0-0
Osativa,teM-teM,teM,teM,1,0,0,0,1-0
Osativa,teM-teM,teM,teM,0,1,13,0.00419625564880568,0-1
Osativa,teM-teM,teM,teM,1,1,3085,0.995803744351194,1-1
Osativa,gbM-unM,gbM,unM,0,0,1,0.00101419878296146,0-0
Osativa,gbM-unM,gbM,unM,1,0,5,0.0050709939148073,1-0
Osativa,gbM-unM,gbM,unM,0,1,11,0.0111561866125761,0-1
Osativa,gbM-unM,gbM,unM,1,1,969,0.982758620689655,1-1
Osativa,gbM-gbM,gbM,gbM,0,0,4,0.0030511060259344,0-0
Osativa,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Osativa,gbM-gbM,gbM,gbM,0,1,32,0.0244088482074752,0-1
Osativa,gbM-gbM,gbM,gbM,1,1,1275,0.97254004576659,1-1
Osativa,unM-teM,unM,teM,0,0,0,0,0-0
Osativa,unM-teM,unM,teM,1,0,2,0.00203873598369011,1-0
Osativa,unM-teM,unM,teM,0,1,4,0.00407747196738022,0-1
Osativa,unM-teM,unM,teM,1,1,975,0.99388379204893,1-1
Osativa,unM-unM,unM,unM,0,0,5,0.00119932837610938,0-0
Osativa,unM-unM,unM,unM,1,0,0,0,1-0
Osativa,unM-unM,unM,unM,0,1,53,0.0127128807867594,0-1
Osativa,unM-unM,unM,unM,1,1,4111,0.986087790837131,1-1
