Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Osativa,gbM,0,gbM-gbM,40,0.0151285930408472
Osativa,gbM,1,gbM-gbM,2604,0.984871406959153
Osativa,gbM,0,gbM-teM,3,0.00761421319796954
Osativa,teM,0,gbM-teM,1,0.00216919739696312
Osativa,gbM,1,gbM-teM,391,0.99238578680203
Osativa,teM,1,gbM-teM,460,0.997830802603037
Osativa,gbM,0,gbM-unM,12,0.0121580547112462
Osativa,unM,0,gbM-unM,6,0.00597014925373134
Osativa,gbM,1,gbM-unM,975,0.987841945288754
Osativa,unM,1,gbM-unM,999,0.994029850746269
Osativa,teM,0,teM-teM,13,0.00274841437632135
Osativa,teM,1,teM-teM,4717,0.997251585623679
Osativa,unM,0,unM-teM,4,0.00419287211740042
Osativa,teM,0,unM-teM,2,0.00211193241816262
Osativa,unM,1,unM-teM,950,0.9958071278826
Osativa,teM,1,unM-teM,945,0.997888067581837
Osativa,unM,0,unM-unM,54,0.00679074446680081
Osativa,unM,1,unM-unM,7898,0.993209255533199
