Species,Duplication,Classification,Number,PhyloOrder
Osativa,dispersed,gbM-gbM,455,4
Osativa,proximal,gbM-gbM,90,4
Osativa,tandem,gbM-gbM,134,4
Osativa,transposed,gbM-gbM,288,4
Osativa,wgd,gbM-gbM,477,4
Osativa,dispersed,gbM-teM,168,4
Osativa,proximal,gbM-teM,67,4
Osativa,tandem,gbM-teM,64,4
Osativa,transposed,gbM-teM,132,4
Osativa,wgd,gbM-teM,58,4
Osativa,dispersed,gbM-Unclassified,296,4
Osativa,proximal,gbM-Unclassified,63,4
Osativa,tandem,gbM-Unclassified,92,4
Osativa,transposed,gbM-Unclassified,182,4
Osativa,wgd,gbM-Unclassified,251,4
Osativa,dispersed,gbM-unM,352,4
Osativa,proximal,gbM-unM,111,4
Osativa,tandem,gbM-unM,130,4
Osativa,transposed,gbM-unM,253,4
Osativa,wgd,gbM-unM,245,4
Osativa,dispersed,teM-teM,1093,4
Osativa,proximal,teM-teM,260,4
Osativa,tandem,teM-teM,226,4
Osativa,transposed,teM-teM,966,4
Osativa,wgd,teM-teM,614,4
Osativa,dispersed,teM-Unclassified,186,4
Osativa,proximal,teM-Unclassified,76,4
Osativa,tandem,teM-Unclassified,55,4
Osativa,transposed,teM-Unclassified,103,4
Osativa,wgd,teM-Unclassified,70,4
Osativa,dispersed,Unclassified-Unclassified,145,4
Osativa,proximal,Unclassified-Unclassified,40,4
Osativa,tandem,Unclassified-Unclassified,48,4
Osativa,transposed,Unclassified-Unclassified,72,4
Osativa,wgd,Unclassified-Unclassified,141,4
Osativa,dispersed,unM-teM,441,4
Osativa,proximal,unM-teM,154,4
Osativa,tandem,unM-teM,164,4
Osativa,transposed,unM-teM,197,4
Osativa,wgd,unM-teM,82,4
Osativa,dispersed,unM-Unclassified,335,4
Osativa,proximal,unM-Unclassified,182,4
Osativa,tandem,unM-Unclassified,212,4
Osativa,transposed,unM-Unclassified,232,4
Osativa,wgd,unM-Unclassified,276,4
Osativa,dispersed,unM-unM,954,4
Osativa,proximal,unM-unM,679,4
Osativa,tandem,unM-unM,983,4
Osativa,transposed,unM-unM,752,4
Osativa,wgd,unM-unM,1109,4
