species,classification,estimate,p.value,p.adjust
Z. mays,gbM,0.234890962654074,4.8215678217103e-248,1.92862712868412e-247
Z. mays,TE-like,6.66165725538305,0,0
Z. mays,Unmethylated,0.746423672210959,3.84544171700646e-23,5.7681625755097e-23
B. oleracea,gbM,1.05774568298743,0.495196641325709,0.540214517809864
B. oleracea,TE-like,1.76780595304734,5.21730821058739e-64,1.04346164211748e-63
B. oleracea,Unmethylated,1.47821910955158,6.88212755412067e-18,8.25855306494481e-18
S. lycoperiscum,gbM,0.113834468202697,6.04203225942332e-225,1.812609677827e-224
S. lycoperiscum,TE-like,1.35405661220063,2.20156426443735e-22,2.93541901924981e-22
S. lycoperiscum,Unmethylated,2.0153833776824,1.96231869797933e-46,3.3639749108217e-46
S. tuberosum,gbM,0.148814690877569,5.87968595133072e-117,1.41112462831937e-116
S. tuberosum,TE-like,6.41929184805065,1.71274606197657e-277,1.02764763718594e-276
S. tuberosum,Unmethylated,0.975859016319962,0.847292553211841,0.847292553211841
