"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Ptrichocarpa"
"2","TEs","Genes",-0.0766745323457071,2.88657986402541e-14,"Ptrichocarpa"
"3","TE.nucleotidess","Genes",-0.224120414298352,0,"Ptrichocarpa"
"4","gbM","Genes",0.607807250094404,0,"Ptrichocarpa"
"5","TE.like","Genes",0.0978525387271979,0,"Ptrichocarpa"
"6","Unmethylated","Genes",0.926010548738339,0,"Ptrichocarpa"
"7","Unclassified","Genes",0.525579751708255,0,"Ptrichocarpa"
"8","Genes","TEs",-0.0766745323457071,2.88657986402541e-14,"Ptrichocarpa"
"9","TEs","TEs",1,NA,"Ptrichocarpa"
"10","TE.nucleotidess","TEs",0.787335430298765,0,"Ptrichocarpa"
"11","gbM","TEs",-0.105224895133339,0,"Ptrichocarpa"
"12","TE.like","TEs",0.198440515397162,0,"Ptrichocarpa"
"13","Unmethylated","TEs",-0.0785561348338327,6.66133814775094e-15,"Ptrichocarpa"
"14","Unclassified","TEs",-0.0526040828670702,1.86203461982615e-07,"Ptrichocarpa"
"15","Genes","TE.nucleotidess",-0.224120414298352,0,"Ptrichocarpa"
"16","TEs","TE.nucleotidess",0.787335430298765,0,"Ptrichocarpa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Ptrichocarpa"
"18","gbM","TE.nucleotidess",-0.237095343309295,0,"Ptrichocarpa"
"19","TE.like","TE.nucleotidess",0.257698196766665,0,"Ptrichocarpa"
"20","Unmethylated","TE.nucleotidess",-0.222733253050735,0,"Ptrichocarpa"
"21","Unclassified","TE.nucleotidess",-0.149150877798025,0,"Ptrichocarpa"
"22","Genes","gbM",0.607807250094404,0,"Ptrichocarpa"
"23","TEs","gbM",-0.105224895133339,0,"Ptrichocarpa"
"24","TE.nucleotidess","gbM",-0.237095343309295,0,"Ptrichocarpa"
"25","gbM","gbM",1,NA,"Ptrichocarpa"
"26","TE.like","gbM",-0.0513961621544053,3.52899738986778e-07,"Ptrichocarpa"
"27","Unmethylated","gbM",0.441594635479332,0,"Ptrichocarpa"
"28","Unclassified","gbM",0.335538193903401,0,"Ptrichocarpa"
"29","Genes","TE.like",0.0978525387271979,0,"Ptrichocarpa"
"30","TEs","TE.like",0.198440515397162,0,"Ptrichocarpa"
"31","TE.nucleotidess","TE.like",0.257698196766665,0,"Ptrichocarpa"
"32","gbM","TE.like",-0.0513961621544053,3.52899738986778e-07,"Ptrichocarpa"
"33","TE.like","TE.like",1,NA,"Ptrichocarpa"
"34","Unmethylated","TE.like",-0.0554287942267742,3.95312547141202e-08,"Ptrichocarpa"
"35","Unclassified","TE.like",-0.0238824908614296,0.0180180667150625,"Ptrichocarpa"
"36","Genes","Unmethylated",0.926010548738339,0,"Ptrichocarpa"
"37","TEs","Unmethylated",-0.0785561348338327,6.66133814775094e-15,"Ptrichocarpa"
"38","TE.nucleotidess","Unmethylated",-0.222733253050735,0,"Ptrichocarpa"
"39","gbM","Unmethylated",0.441594635479332,0,"Ptrichocarpa"
"40","TE.like","Unmethylated",-0.0554287942267742,3.95312547141202e-08,"Ptrichocarpa"
"41","Unmethylated","Unmethylated",1,NA,"Ptrichocarpa"
"42","Unclassified","Unmethylated",0.370114822654284,0,"Ptrichocarpa"
"43","Genes","Unclassified",0.525579751708255,0,"Ptrichocarpa"
"44","TEs","Unclassified",-0.0526040828670702,1.86203461982615e-07,"Ptrichocarpa"
"45","TE.nucleotidess","Unclassified",-0.149150877798025,0,"Ptrichocarpa"
"46","gbM","Unclassified",0.335538193903401,0,"Ptrichocarpa"
"47","TE.like","Unclassified",-0.0238824908614296,0.0180180667150625,"Ptrichocarpa"
"48","Unmethylated","Unclassified",0.370114822654284,0,"Ptrichocarpa"
"49","Unclassified","Unclassified",1,NA,"Ptrichocarpa"
