"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Ptrichocarpa"
"2","TEs","Genes",-0.0793254842248177,3.5527136788005e-15,"Ptrichocarpa"
"3","TE.nucleotidess","Genes",-0.215820785821378,0,"Ptrichocarpa"
"4","gbM","Genes",0.561887840672714,0,"Ptrichocarpa"
"5","TE.like","Genes",NA,NA,"Ptrichocarpa"
"6","Unmethylated","Genes",0.91000986533394,0,"Ptrichocarpa"
"7","Unclassified","Genes",0.464625660315889,0,"Ptrichocarpa"
"8","Genes","TEs",-0.0793254842248177,3.5527136788005e-15,"Ptrichocarpa"
"9","TEs","TEs",1,NA,"Ptrichocarpa"
"10","TE.nucleotidess","TEs",0.787335430298765,0,"Ptrichocarpa"
"11","gbM","TEs",-0.100588885843655,0,"Ptrichocarpa"
"12","TE.like","TEs",NA,NA,"Ptrichocarpa"
"13","Unmethylated","TEs",-0.0715009505080074,1.34803279649987e-12,"Ptrichocarpa"
"14","Unclassified","TEs",-0.0515909668980368,3.18626774964414e-07,"Ptrichocarpa"
"15","Genes","TE.nucleotidess",-0.215820785821378,0,"Ptrichocarpa"
"16","TEs","TE.nucleotidess",0.787335430298765,0,"Ptrichocarpa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Ptrichocarpa"
"18","gbM","TE.nucleotidess",-0.222020959297946,0,"Ptrichocarpa"
"19","TE.like","TE.nucleotidess",NA,NA,"Ptrichocarpa"
"20","Unmethylated","TE.nucleotidess",-0.205950653388315,0,"Ptrichocarpa"
"21","Unclassified","TE.nucleotidess",-0.13056663795075,0,"Ptrichocarpa"
"22","Genes","gbM",0.561887840672714,0,"Ptrichocarpa"
"23","TEs","gbM",-0.100588885843655,0,"Ptrichocarpa"
"24","TE.nucleotidess","gbM",-0.222020959297946,0,"Ptrichocarpa"
"25","gbM","gbM",1,NA,"Ptrichocarpa"
"26","TE.like","gbM",NA,NA,"Ptrichocarpa"
"27","Unmethylated","gbM",0.372347667861082,0,"Ptrichocarpa"
"28","Unclassified","gbM",0.255276380424683,0,"Ptrichocarpa"
"29","Genes","TE.like",NA,NA,"Ptrichocarpa"
"30","TEs","TE.like",NA,NA,"Ptrichocarpa"
"31","TE.nucleotidess","TE.like",NA,NA,"Ptrichocarpa"
"32","gbM","TE.like",NA,NA,"Ptrichocarpa"
"33","TE.like","TE.like",1,NA,"Ptrichocarpa"
"34","Unmethylated","TE.like",NA,NA,"Ptrichocarpa"
"35","Unclassified","TE.like",NA,NA,"Ptrichocarpa"
"36","Genes","Unmethylated",0.91000986533394,0,"Ptrichocarpa"
"37","TEs","Unmethylated",-0.0715009505080074,1.34803279649987e-12,"Ptrichocarpa"
"38","TE.nucleotidess","Unmethylated",-0.205950653388315,0,"Ptrichocarpa"
"39","gbM","Unmethylated",0.372347667861082,0,"Ptrichocarpa"
"40","TE.like","Unmethylated",NA,NA,"Ptrichocarpa"
"41","Unmethylated","Unmethylated",1,NA,"Ptrichocarpa"
"42","Unclassified","Unmethylated",0.294007094175108,0,"Ptrichocarpa"
"43","Genes","Unclassified",0.464625660315889,0,"Ptrichocarpa"
"44","TEs","Unclassified",-0.0515909668980368,3.18626774964414e-07,"Ptrichocarpa"
"45","TE.nucleotidess","Unclassified",-0.13056663795075,0,"Ptrichocarpa"
"46","gbM","Unclassified",0.255276380424683,0,"Ptrichocarpa"
"47","TE.like","Unclassified",NA,NA,"Ptrichocarpa"
"48","Unmethylated","Unclassified",0.294007094175108,0,"Ptrichocarpa"
"49","Unclassified","Unclassified",1,NA,"Ptrichocarpa"
