Species,Duplication,Similarity,Number,PhyloOrder
Ptrichocarpa,dispersed,Different,170,25
Ptrichocarpa,proximal,Different,138,25
Ptrichocarpa,tandem,Different,156,25
Ptrichocarpa,transposed,Different,363,25
Ptrichocarpa,wgd,Different,1046,25
Ptrichocarpa,dispersed,Same,979,25
Ptrichocarpa,proximal,Same,1014,25
Ptrichocarpa,tandem,Same,1654,25
Ptrichocarpa,transposed,Same,1431,25
Ptrichocarpa,wgd,Same,7195,25
Ptrichocarpa,dispersed,Undetermined,165,25
Ptrichocarpa,proximal,Undetermined,153,25
Ptrichocarpa,tandem,Undetermined,131,25
Ptrichocarpa,transposed,Undetermined,279,25
Ptrichocarpa,wgd,Undetermined,1773,25
