"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Pvulgaris"
"2","TEs","Genes",-0.562870184666317,0,"Pvulgaris"
"3","TE.nucleotidess","Genes",-0.733092204859792,0,"Pvulgaris"
"4","gbM","Genes",0.404655423158819,0,"Pvulgaris"
"5","TE.like","Genes",0.229385782701997,0,"Pvulgaris"
"6","Unmethylated","Genes",0.942775576928544,0,"Pvulgaris"
"7","Unclassified","Genes",0.504434280486249,0,"Pvulgaris"
"8","Genes","TEs",-0.562870184666317,0,"Pvulgaris"
"9","TEs","TEs",1,NA,"Pvulgaris"
"10","TE.nucleotidess","TEs",0.792070370433848,0,"Pvulgaris"
"11","gbM","TEs",-0.296848874828698,0,"Pvulgaris"
"12","TE.like","TEs",-0.056264963086001,3.10344949738806e-09,"Pvulgaris"
"13","Unmethylated","TEs",-0.523168582221258,0,"Pvulgaris"
"14","Unclassified","TEs",-0.341209083854846,0,"Pvulgaris"
"15","Genes","TE.nucleotidess",-0.733092204859792,0,"Pvulgaris"
"16","TEs","TE.nucleotidess",0.792070370433848,0,"Pvulgaris"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Pvulgaris"
"18","gbM","TE.nucleotidess",-0.364721362927873,0,"Pvulgaris"
"19","TE.like","TE.nucleotidess",-0.127325507103051,0,"Pvulgaris"
"20","Unmethylated","TE.nucleotidess",-0.690501284159956,0,"Pvulgaris"
"21","Unclassified","TE.nucleotidess",-0.411541593923394,0,"Pvulgaris"
"22","Genes","gbM",0.404655423158819,0,"Pvulgaris"
"23","TEs","gbM",-0.296848874828698,0,"Pvulgaris"
"24","TE.nucleotidess","gbM",-0.364721362927873,0,"Pvulgaris"
"25","gbM","gbM",1,NA,"Pvulgaris"
"26","TE.like","gbM",0.0321546925818018,0.000712193623324087,"Pvulgaris"
"27","Unmethylated","gbM",0.261331729132491,0,"Pvulgaris"
"28","Unclassified","gbM",0.219835362849681,0,"Pvulgaris"
"29","Genes","TE.like",0.229385782701997,0,"Pvulgaris"
"30","TEs","TE.like",-0.056264963086001,3.10344949738806e-09,"Pvulgaris"
"31","TE.nucleotidess","TE.like",-0.127325507103051,0,"Pvulgaris"
"32","gbM","TE.like",0.0321546925818018,0.000712193623324087,"Pvulgaris"
"33","TE.like","TE.like",1,NA,"Pvulgaris"
"34","Unmethylated","TE.like",0.00710308337450642,0.454738056312795,"Pvulgaris"
"35","Unclassified","TE.like",0.0285350001816548,0.00266770127119598,"Pvulgaris"
"36","Genes","Unmethylated",0.942775576928544,0,"Pvulgaris"
"37","TEs","Unmethylated",-0.523168582221258,0,"Pvulgaris"
"38","TE.nucleotidess","Unmethylated",-0.690501284159956,0,"Pvulgaris"
"39","gbM","Unmethylated",0.261331729132491,0,"Pvulgaris"
"40","TE.like","Unmethylated",0.00710308337450642,0.454738056312795,"Pvulgaris"
"41","Unmethylated","Unmethylated",1,NA,"Pvulgaris"
"42","Unclassified","Unmethylated",0.351712756911237,0,"Pvulgaris"
"43","Genes","Unclassified",0.504434280486249,0,"Pvulgaris"
"44","TEs","Unclassified",-0.341209083854846,0,"Pvulgaris"
"45","TE.nucleotidess","Unclassified",-0.411541593923394,0,"Pvulgaris"
"46","gbM","Unclassified",0.219835362849681,0,"Pvulgaris"
"47","TE.like","Unclassified",0.0285350001816548,0.00266770127119598,"Pvulgaris"
"48","Unmethylated","Unclassified",0.351712756911237,0,"Pvulgaris"
"49","Unclassified","Unclassified",1,NA,"Pvulgaris"
