Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Pvulgaris,unM-unM,unM,unM,0,0,84,0.0125335720680394,0-0
Pvulgaris,unM-unM,unM,unM,1,0,0,0,1-0
Pvulgaris,unM-unM,unM,unM,0,1,1008,0.150402864816473,0-1
Pvulgaris,unM-unM,unM,unM,1,1,5610,0.837063563115488,1-1
Pvulgaris,unM-teM,unM,teM,0,0,4,0.00856531049250535,0-0
Pvulgaris,unM-teM,unM,teM,1,0,16,0.0342612419700214,1-0
Pvulgaris,unM-teM,unM,teM,0,1,26,0.0556745182012848,0-1
Pvulgaris,unM-teM,unM,teM,1,1,421,0.901498929336188,1-1
Pvulgaris,gbM-unM,gbM,unM,0,0,5,0.0130548302872063,0-0
Pvulgaris,gbM-unM,gbM,unM,1,0,33,0.0861618798955614,1-0
Pvulgaris,gbM-unM,gbM,unM,0,1,40,0.10443864229765,0-1
Pvulgaris,gbM-unM,gbM,unM,1,1,305,0.796344647519582,1-1
Pvulgaris,teM-teM,teM,teM,0,0,21,0.025089605734767,0-0
Pvulgaris,teM-teM,teM,teM,1,0,0,0,1-0
Pvulgaris,teM-teM,teM,teM,0,1,51,0.0609318996415771,0-1
Pvulgaris,teM-teM,teM,teM,1,1,765,0.913978494623656,1-1
Pvulgaris,gbM-teM,gbM,teM,0,1,1,0.0294117647058824,0-1
Pvulgaris,gbM-teM,gbM,teM,1,1,33,0.970588235294118,1-1
Pvulgaris,gbM-teM,gbM,teM,0,0,0,0,0-0
Pvulgaris,gbM-teM,gbM,teM,1,0,0,0,1-0
Pvulgaris,gbM-gbM,gbM,gbM,0,0,2,0.0129032258064516,0-0
Pvulgaris,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Pvulgaris,gbM-gbM,gbM,gbM,0,1,16,0.103225806451613,0-1
Pvulgaris,gbM-gbM,gbM,gbM,1,1,137,0.883870967741936,1-1
