Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Pvulgaris,gbM,0,gbM-gbM,19,0.0610932475884244
Pvulgaris,gbM,1,gbM-gbM,292,0.938906752411576
Pvulgaris,gbM,0,gbM-teM,1,0.0285714285714286
Pvulgaris,teM,0,gbM-teM,0,0
Pvulgaris,gbM,1,gbM-teM,34,0.971428571428571
Pvulgaris,teM,1,gbM-teM,36,1
Pvulgaris,gbM,0,gbM-unM,47,0.121134020618557
Pvulgaris,unM,0,gbM-unM,38,0.0971867007672634
Pvulgaris,gbM,1,gbM-unM,341,0.878865979381443
Pvulgaris,unM,1,gbM-unM,353,0.902813299232737
Pvulgaris,teM,0,teM-teM,71,0.052827380952381
Pvulgaris,teM,1,teM-teM,1273,0.947172619047619
Pvulgaris,unM,0,unM-teM,28,0.0602150537634409
Pvulgaris,teM,0,unM-teM,21,0.0455531453362256
Pvulgaris,unM,1,unM-teM,437,0.939784946236559
Pvulgaris,teM,1,unM-teM,440,0.954446854663774
Pvulgaris,unM,0,unM-unM,1123,0.0871962108859383
Pvulgaris,unM,1,unM-unM,11756,0.912803789114062
