Species,Duplication,Classification,Number,PhyloOrder
Pxbretschneideri,dispersed,gbM-gbM,52,30
Pxbretschneideri,proximal,gbM-gbM,5,30
Pxbretschneideri,tandem,gbM-gbM,28,30
Pxbretschneideri,transposed,gbM-gbM,56,30
Pxbretschneideri,wgd,gbM-gbM,495,30
Pxbretschneideri,dispersed,gbM-teM,10,30
Pxbretschneideri,proximal,gbM-teM,3,30
Pxbretschneideri,tandem,gbM-teM,3,30
Pxbretschneideri,transposed,gbM-teM,13,30
Pxbretschneideri,wgd,gbM-teM,11,30
Pxbretschneideri,dispersed,gbM-Unclassified,52,30
Pxbretschneideri,proximal,gbM-Unclassified,25,30
Pxbretschneideri,tandem,gbM-Unclassified,63,30
Pxbretschneideri,transposed,gbM-Unclassified,95,30
Pxbretschneideri,wgd,gbM-Unclassified,526,30
Pxbretschneideri,dispersed,gbM-unM,18,30
Pxbretschneideri,proximal,gbM-unM,11,30
Pxbretschneideri,tandem,gbM-unM,27,30
Pxbretschneideri,transposed,gbM-unM,41,30
Pxbretschneideri,wgd,gbM-unM,135,30
Pxbretschneideri,dispersed,teM-teM,34,30
Pxbretschneideri,proximal,teM-teM,23,30
Pxbretschneideri,tandem,teM-teM,27,30
Pxbretschneideri,transposed,teM-teM,62,30
Pxbretschneideri,wgd,teM-teM,26,30
Pxbretschneideri,dispersed,teM-Unclassified,22,30
Pxbretschneideri,proximal,teM-Unclassified,24,30
Pxbretschneideri,tandem,teM-Unclassified,44,30
Pxbretschneideri,transposed,teM-Unclassified,82,30
Pxbretschneideri,wgd,teM-Unclassified,52,30
Pxbretschneideri,dispersed,Unclassified-Unclassified,83,30
Pxbretschneideri,proximal,Unclassified-Unclassified,44,30
Pxbretschneideri,tandem,Unclassified-Unclassified,150,30
Pxbretschneideri,transposed,Unclassified-Unclassified,144,30
Pxbretschneideri,wgd,Unclassified-Unclassified,860,30
Pxbretschneideri,dispersed,unM-teM,7,30
Pxbretschneideri,proximal,unM-teM,14,30
Pxbretschneideri,tandem,unM-teM,47,30
Pxbretschneideri,transposed,unM-teM,32,30
Pxbretschneideri,wgd,unM-teM,41,30
Pxbretschneideri,dispersed,unM-Unclassified,105,30
Pxbretschneideri,proximal,unM-Unclassified,96,30
Pxbretschneideri,tandem,unM-Unclassified,271,30
Pxbretschneideri,transposed,unM-Unclassified,197,30
Pxbretschneideri,wgd,unM-Unclassified,722,30
Pxbretschneideri,dispersed,unM-unM,100,30
Pxbretschneideri,proximal,unM-unM,85,30
Pxbretschneideri,tandem,unM-unM,344,30
Pxbretschneideri,transposed,unM-unM,218,30
Pxbretschneideri,wgd,unM-unM,997,30
