"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Sbicolor"
"2","TEs","Genes",-0.0741667218925028,0,"Sbicolor"
"3","TE.nucleotidess","Genes",-0.476209300670245,0,"Sbicolor"
"4","gbM","Genes",0.68800759887696,0,"Sbicolor"
"5","TE.like","Genes",NA,NA,"Sbicolor"
"6","Unmethylated","Genes",0.874524357129458,0,"Sbicolor"
"7","Unclassified","Genes",0.549987314110309,0,"Sbicolor"
"8","Genes","TEs",-0.0741667218925028,0,"Sbicolor"
"9","TEs","TEs",1,NA,"Sbicolor"
"10","TE.nucleotidess","TEs",0.585883180653812,0,"Sbicolor"
"11","gbM","TEs",-0.0717528908776952,0,"Sbicolor"
"12","TE.like","TEs",NA,NA,"Sbicolor"
"13","Unmethylated","TEs",-0.0578400771740379,1.58006940864652e-12,"Sbicolor"
"14","Unclassified","TEs",-0.0307748572724379,0.0001712718608331,"Sbicolor"
"15","Genes","TE.nucleotidess",-0.476209300670245,0,"Sbicolor"
"16","TEs","TE.nucleotidess",0.585883180653812,0,"Sbicolor"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Sbicolor"
"18","gbM","TE.nucleotidess",-0.374310561304686,0,"Sbicolor"
"19","TE.like","TE.nucleotidess",NA,NA,"Sbicolor"
"20","Unmethylated","TE.nucleotidess",-0.411958855789484,0,"Sbicolor"
"21","Unclassified","TE.nucleotidess",-0.258311835612981,0,"Sbicolor"
"22","Genes","gbM",0.68800759887696,0,"Sbicolor"
"23","TEs","gbM",-0.0717528908776952,0,"Sbicolor"
"24","TE.nucleotidess","gbM",-0.374310561304686,0,"Sbicolor"
"25","gbM","gbM",1,NA,"Sbicolor"
"26","TE.like","gbM",NA,NA,"Sbicolor"
"27","Unmethylated","gbM",0.424639535845741,0,"Sbicolor"
"28","Unclassified","gbM",0.344482017818796,0,"Sbicolor"
"29","Genes","TE.like",NA,NA,"Sbicolor"
"30","TEs","TE.like",NA,NA,"Sbicolor"
"31","TE.nucleotidess","TE.like",NA,NA,"Sbicolor"
"32","gbM","TE.like",NA,NA,"Sbicolor"
"33","TE.like","TE.like",1,NA,"Sbicolor"
"34","Unmethylated","TE.like",NA,NA,"Sbicolor"
"35","Unclassified","TE.like",NA,NA,"Sbicolor"
"36","Genes","Unmethylated",0.874524357129458,0,"Sbicolor"
"37","TEs","Unmethylated",-0.0578400771740379,1.58006940864652e-12,"Sbicolor"
"38","TE.nucleotidess","Unmethylated",-0.411958855789484,0,"Sbicolor"
"39","gbM","Unmethylated",0.424639535845741,0,"Sbicolor"
"40","TE.like","Unmethylated",NA,NA,"Sbicolor"
"41","Unmethylated","Unmethylated",1,NA,"Sbicolor"
"42","Unclassified","Unmethylated",0.335706977812373,0,"Sbicolor"
"43","Genes","Unclassified",0.549987314110309,0,"Sbicolor"
"44","TEs","Unclassified",-0.0307748572724379,0.0001712718608331,"Sbicolor"
"45","TE.nucleotidess","Unclassified",-0.258311835612981,0,"Sbicolor"
"46","gbM","Unclassified",0.344482017818796,0,"Sbicolor"
"47","TE.like","Unclassified",NA,NA,"Sbicolor"
"48","Unmethylated","Unclassified",0.335706977812373,0,"Sbicolor"
"49","Unclassified","Unclassified",1,NA,"Sbicolor"
