Species,Duplication,Classification,Number,PhyloOrder
Sbicolor,dispersed,gbM-gbM,517,7
Sbicolor,proximal,gbM-gbM,45,7
Sbicolor,tandem,gbM-gbM,90,7
Sbicolor,transposed,gbM-gbM,244,7
Sbicolor,wgd,gbM-gbM,451,7
Sbicolor,dispersed,gbM-teM,112,7
Sbicolor,proximal,gbM-teM,21,7
Sbicolor,tandem,gbM-teM,34,7
Sbicolor,transposed,gbM-teM,30,7
Sbicolor,wgd,gbM-teM,27,7
Sbicolor,dispersed,gbM-Unclassified,295,7
Sbicolor,proximal,gbM-Unclassified,65,7
Sbicolor,tandem,gbM-Unclassified,68,7
Sbicolor,transposed,gbM-Unclassified,171,7
Sbicolor,wgd,gbM-Unclassified,223,7
Sbicolor,dispersed,gbM-unM,387,7
Sbicolor,proximal,gbM-unM,96,7
Sbicolor,tandem,gbM-unM,147,7
Sbicolor,transposed,gbM-unM,221,7
Sbicolor,wgd,gbM-unM,226,7
Sbicolor,dispersed,teM-teM,244,7
Sbicolor,proximal,teM-teM,41,7
Sbicolor,tandem,teM-teM,79,7
Sbicolor,transposed,teM-teM,38,7
Sbicolor,wgd,teM-teM,10,7
Sbicolor,dispersed,teM-Unclassified,88,7
Sbicolor,proximal,teM-Unclassified,19,7
Sbicolor,tandem,teM-Unclassified,40,7
Sbicolor,transposed,teM-Unclassified,13,7
Sbicolor,wgd,teM-Unclassified,5,7
Sbicolor,dispersed,Unclassified-Unclassified,134,7
Sbicolor,proximal,Unclassified-Unclassified,27,7
Sbicolor,tandem,Unclassified-Unclassified,31,7
Sbicolor,transposed,Unclassified-Unclassified,78,7
Sbicolor,wgd,Unclassified-Unclassified,84,7
Sbicolor,dispersed,unM-teM,168,7
Sbicolor,proximal,unM-teM,44,7
Sbicolor,tandem,unM-teM,88,7
Sbicolor,transposed,unM-teM,58,7
Sbicolor,wgd,unM-teM,28,7
Sbicolor,dispersed,unM-Unclassified,356,7
Sbicolor,proximal,unM-Unclassified,84,7
Sbicolor,tandem,unM-Unclassified,188,7
Sbicolor,transposed,unM-Unclassified,176,7
Sbicolor,wgd,unM-Unclassified,197,7
Sbicolor,dispersed,unM-unM,960,7
Sbicolor,proximal,unM-unM,443,7
Sbicolor,tandem,unM-unM,1088,7
Sbicolor,transposed,unM-unM,640,7
Sbicolor,wgd,unM-unM,899,7
