Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Sitalica,gbM-teM,gbM,teM,0,0,0,0,0-0
Sitalica,gbM-teM,gbM,teM,1,0,3,0.0154639175257732,1-0
Sitalica,gbM-teM,gbM,teM,0,1,5,0.0257731958762887,0-1
Sitalica,gbM-teM,gbM,teM,1,1,186,0.958762886597938,1-1
Sitalica,unM-unM,unM,unM,0,0,42,0.00878477306002928,0-0
Sitalica,unM-unM,unM,unM,1,0,0,0,1-0
Sitalica,unM-unM,unM,unM,0,1,458,0.095795858606986,0-1
Sitalica,unM-unM,unM,unM,1,1,4281,0.895419368332985,1-1
Sitalica,gbM-unM,gbM,unM,0,0,10,0.00864304235090752,0-0
Sitalica,gbM-unM,gbM,unM,1,0,79,0.0682800345721694,1-0
Sitalica,gbM-unM,gbM,unM,0,1,74,0.0639585133967156,0-1
Sitalica,gbM-unM,gbM,unM,1,1,994,0.859118409680207,1-1
Sitalica,teM-teM,teM,teM,0,0,9,0.0111248454882571,0-0
Sitalica,teM-teM,teM,teM,1,0,0,0,1-0
Sitalica,teM-teM,teM,teM,0,1,45,0.0556242274412855,0-1
Sitalica,teM-teM,teM,teM,1,1,755,0.933250927070457,1-1
Sitalica,unM-teM,unM,teM,0,0,3,0.00591715976331361,0-0
Sitalica,unM-teM,unM,teM,1,0,10,0.019723865877712,1-0
Sitalica,unM-teM,unM,teM,0,1,25,0.0493096646942801,0-1
Sitalica,unM-teM,unM,teM,1,1,469,0.925049309664694,1-1
Sitalica,gbM-gbM,gbM,gbM,0,0,10,0.006426735218509,0-0
Sitalica,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Sitalica,gbM-gbM,gbM,gbM,0,1,190,0.122107969151671,0-1
Sitalica,gbM-gbM,gbM,gbM,1,1,1356,0.87146529562982,1-1
