Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Sitalica,gbM,0,gbM-gbM,210,0.0676982591876209
Sitalica,gbM,1,gbM-gbM,2892,0.932301740812379
Sitalica,gbM,0,gbM-teM,5,0.0282485875706215
Sitalica,teM,0,gbM-teM,4,0.0208333333333333
Sitalica,gbM,1,gbM-teM,172,0.971751412429379
Sitalica,teM,1,gbM-teM,188,0.979166666666667
Sitalica,gbM,0,gbM-unM,85,0.0768535262206148
Sitalica,unM,0,gbM-unM,94,0.0774299835255354
Sitalica,gbM,1,gbM-unM,1021,0.923146473779385
Sitalica,unM,1,gbM-unM,1120,0.922570016474465
Sitalica,teM,0,teM-teM,53,0.0446880269814503
Sitalica,teM,1,teM-teM,1133,0.95531197301855
Sitalica,unM,0,unM-teM,24,0.0486815415821501
Sitalica,teM,0,unM-teM,11,0.0237580993520518
Sitalica,unM,1,unM-teM,469,0.95131845841785
Sitalica,teM,1,unM-teM,452,0.976241900647948
Sitalica,unM,0,unM-unM,507,0.0566987251174234
Sitalica,unM,1,unM-unM,8435,0.943301274882577
