"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Slycopersicum"
"2","TEs","Genes",-0.382682229665591,0,"Slycopersicum"
"3","TE.nucleotidess","Genes",-0.560449225344898,0,"Slycopersicum"
"4","gbM","Genes",0.778578828092712,0,"Slycopersicum"
"5","teM","Genes",0.446878496092349,0,"Slycopersicum"
"6","unM","Genes",0.620903037256821,0,"Slycopersicum"
"7","Unclassified","Genes",0.766954163982065,0,"Slycopersicum"
"8","Genes","TEs",-0.382682229665591,0,"Slycopersicum"
"9","TEs","TEs",1,NA,"Slycopersicum"
"10","TE.nucleotidess","TEs",0.868857581752622,0,"Slycopersicum"
"11","gbM","TEs",-0.350465778663962,0,"Slycopersicum"
"12","teM","TEs",-0.0830563103851998,0,"Slycopersicum"
"13","unM","TEs",-0.257122871423979,0,"Slycopersicum"
"14","Unclassified","TEs",-0.309725412030342,0,"Slycopersicum"
"15","Genes","TE.nucleotidess",-0.560449225344898,0,"Slycopersicum"
"16","TEs","TE.nucleotidess",0.868857581752622,0,"Slycopersicum"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Slycopersicum"
"18","gbM","TE.nucleotidess",-0.520244099663532,0,"Slycopersicum"
"19","teM","TE.nucleotidess",-0.141480949044646,0,"Slycopersicum"
"20","unM","TE.nucleotidess",-0.390488428532722,0,"Slycopersicum"
"21","Unclassified","TE.nucleotidess",-0.464867257431165,0,"Slycopersicum"
"22","Genes","gbM",0.778578828092712,0,"Slycopersicum"
"23","TEs","gbM",-0.350465778663962,0,"Slycopersicum"
"24","TE.nucleotidess","gbM",-0.520244099663532,0,"Slycopersicum"
"25","gbM","gbM",1,NA,"Slycopersicum"
"26","teM","gbM",0.115591238794584,0,"Slycopersicum"
"27","unM","gbM",0.348719775615336,0,"Slycopersicum"
"28","Unclassified","gbM",0.506501472719161,0,"Slycopersicum"
"29","Genes","teM",0.446878496092349,0,"Slycopersicum"
"30","TEs","teM",-0.0830563103851998,0,"Slycopersicum"
"31","TE.nucleotidess","teM",-0.141480949044646,0,"Slycopersicum"
"32","gbM","teM",0.115591238794584,0,"Slycopersicum"
"33","teM","teM",1,NA,"Slycopersicum"
"34","unM","teM",0.0325830614069435,2.7313316016242e-05,"Slycopersicum"
"35","Unclassified","teM",0.110873376729328,0,"Slycopersicum"
"36","Genes","unM",0.620903037256821,0,"Slycopersicum"
"37","TEs","unM",-0.257122871423979,0,"Slycopersicum"
"38","TE.nucleotidess","unM",-0.390488428532722,0,"Slycopersicum"
"39","gbM","unM",0.348719775615336,0,"Slycopersicum"
"40","teM","unM",0.0325830614069435,2.7313316016242e-05,"Slycopersicum"
"41","unM","unM",1,NA,"Slycopersicum"
"42","Unclassified","unM",0.472588060170557,0,"Slycopersicum"
"43","Genes","Unclassified",0.766954163982065,0,"Slycopersicum"
"44","TEs","Unclassified",-0.309725412030342,0,"Slycopersicum"
"45","TE.nucleotidess","Unclassified",-0.464867257431165,0,"Slycopersicum"
"46","gbM","Unclassified",0.506501472719161,0,"Slycopersicum"
"47","teM","Unclassified",0.110873376729328,0,"Slycopersicum"
"48","unM","Unclassified",0.472588060170557,0,"Slycopersicum"
"49","Unclassified","Unclassified",1,NA,"Slycopersicum"
