"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Stuberosum"
"2","TEs","Genes",-0.175216910632021,0,"Stuberosum"
"3","TE.nucleotidess","Genes",-0.371149496055157,0,"Stuberosum"
"4","gbM","Genes",0.658624042638036,0,"Stuberosum"
"5","teM","Genes",0.280997836813003,0,"Stuberosum"
"6","unM","Genes",0.564915564993625,0,"Stuberosum"
"7","Unclassified","Genes",0.572028328433342,0,"Stuberosum"
"8","Genes","TEs",-0.175216910632021,0,"Stuberosum"
"9","TEs","TEs",1,NA,"Stuberosum"
"10","TE.nucleotidess","TEs",0.698690322793297,0,"Stuberosum"
"11","gbM","TEs",-0.247152477516764,0,"Stuberosum"
"12","teM","TEs",0.0959481041999384,0,"Stuberosum"
"13","unM","TEs",-0.167289268221667,0,"Stuberosum"
"14","Unclassified","TEs",-0.14805686195003,0,"Stuberosum"
"15","Genes","TE.nucleotidess",-0.371149496055157,0,"Stuberosum"
"16","TEs","TE.nucleotidess",0.698690322793297,0,"Stuberosum"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Stuberosum"
"18","gbM","TE.nucleotidess",-0.496636553494867,0,"Stuberosum"
"19","teM","TE.nucleotidess",0.204210010190746,0,"Stuberosum"
"20","unM","TE.nucleotidess",-0.381083188658736,0,"Stuberosum"
"21","Unclassified","TE.nucleotidess",-0.332003738012534,0,"Stuberosum"
"22","Genes","gbM",0.658624042638036,0,"Stuberosum"
"23","TEs","gbM",-0.247152477516764,0,"Stuberosum"
"24","TE.nucleotidess","gbM",-0.496636553494867,0,"Stuberosum"
"25","gbM","gbM",1,NA,"Stuberosum"
"26","teM","gbM",-0.0670641082459512,0,"Stuberosum"
"27","unM","gbM",0.314966083595323,0,"Stuberosum"
"28","Unclassified","gbM",0.328531901078055,0,"Stuberosum"
"29","Genes","teM",0.280997836813003,0,"Stuberosum"
"30","TEs","teM",0.0959481041999384,0,"Stuberosum"
"31","TE.nucleotidess","teM",0.204210010190746,0,"Stuberosum"
"32","gbM","teM",-0.0670641082459512,0,"Stuberosum"
"33","teM","teM",1,NA,"Stuberosum"
"34","unM","teM",-0.101004645802379,0,"Stuberosum"
"35","Unclassified","teM",-0.0356365752626079,9.28509206143957e-06,"Stuberosum"
"36","Genes","unM",0.564915564993625,0,"Stuberosum"
"37","TEs","unM",-0.167289268221667,0,"Stuberosum"
"38","TE.nucleotidess","unM",-0.381083188658736,0,"Stuberosum"
"39","gbM","unM",0.314966083595323,0,"Stuberosum"
"40","teM","unM",-0.101004645802379,0,"Stuberosum"
"41","unM","unM",1,NA,"Stuberosum"
"42","Unclassified","unM",0.313880441092366,0,"Stuberosum"
"43","Genes","Unclassified",0.572028328433342,0,"Stuberosum"
"44","TEs","Unclassified",-0.14805686195003,0,"Stuberosum"
"45","TE.nucleotidess","Unclassified",-0.332003738012534,0,"Stuberosum"
"46","gbM","Unclassified",0.328531901078055,0,"Stuberosum"
"47","teM","Unclassified",-0.0356365752626079,9.28509206143957e-06,"Stuberosum"
"48","unM","Unclassified",0.313880441092366,0,"Stuberosum"
"49","Unclassified","Unclassified",1,NA,"Stuberosum"
