Species,Duplication,Classification,Number
Stuberosum,dispersed,gbM-gbM,574
Stuberosum,proximal,gbM-gbM,121
Stuberosum,tandem,gbM-gbM,309
Stuberosum,transposed,gbM-gbM,563
Stuberosum,wgd,gbM-gbM,1090
Stuberosum,dispersed,gbM-teM,157
Stuberosum,proximal,gbM-teM,49
Stuberosum,tandem,gbM-teM,94
Stuberosum,transposed,gbM-teM,151
Stuberosum,wgd,gbM-teM,182
Stuberosum,dispersed,gbM-Unclassified,192
Stuberosum,proximal,gbM-Unclassified,86
Stuberosum,tandem,gbM-Unclassified,193
Stuberosum,transposed,gbM-Unclassified,182
Stuberosum,wgd,gbM-Unclassified,274
Stuberosum,dispersed,gbM-unM,176
Stuberosum,proximal,gbM-unM,56
Stuberosum,tandem,gbM-unM,118
Stuberosum,transposed,gbM-unM,193
Stuberosum,wgd,gbM-unM,258
Stuberosum,dispersed,teM-teM,173
Stuberosum,proximal,teM-teM,96
Stuberosum,tandem,teM-teM,183
Stuberosum,transposed,teM-teM,309
Stuberosum,wgd,teM-teM,1584
Stuberosum,dispersed,teM-Unclassified,83
Stuberosum,proximal,teM-Unclassified,56
Stuberosum,tandem,teM-Unclassified,116
Stuberosum,transposed,teM-Unclassified,122
Stuberosum,wgd,teM-Unclassified,178
Stuberosum,dispersed,Unclassified-Unclassified,76
Stuberosum,proximal,Unclassified-Unclassified,62
Stuberosum,tandem,Unclassified-Unclassified,129
Stuberosum,transposed,Unclassified-Unclassified,70
Stuberosum,wgd,Unclassified-Unclassified,141
Stuberosum,dispersed,unM-teM,99
Stuberosum,proximal,unM-teM,41
Stuberosum,tandem,unM-teM,75
Stuberosum,transposed,unM-teM,140
Stuberosum,wgd,unM-teM,183
Stuberosum,dispersed,unM-Unclassified,135
Stuberosum,proximal,unM-Unclassified,53
Stuberosum,tandem,unM-Unclassified,196
Stuberosum,transposed,unM-Unclassified,128
Stuberosum,wgd,unM-Unclassified,261
Stuberosum,dispersed,unM-unM,180
Stuberosum,proximal,unM-unM,94
Stuberosum,tandem,unM-unM,275
Stuberosum,transposed,unM-unM,184
Stuberosum,wgd,unM-unM,522
